2025-05-21T01:28:00, eb, 做多6手
2025-05-21T01:36:00, au, 做空1手
2025-05-21T13:01:00, eb, 平多
2025-05-21T14:31:00, b, 做空6手
2025-05-21T14:51:00, m, 做空7手
2025-05-21T18:46:00, EC, 做多2手
2025-05-22T01:52:00, au, 平空
2025-05-22T13:01:00, b, 平空
2025-05-22T13:12:00, LC, 做空4手
2025-05-22T14:49:00, EC, 平多
2025-05-23T13:10:00, JD, 做空6手
2025-05-23T13:16:00, m, 空单止损
2025-05-23T13:33:00, LC, 平空
2025-05-23T15:30:00, PK, 做多5手
2025-05-23T18:36:00, PK, 平多
2025-05-23T19:00:00, JD, 平空
2025-05-26T01:03:00, cf, 做多3手
2025-05-26T02:25:00, cf, 平多
2025-05-26T02:39:00, cs, 做空8手
2025-05-26T04:46:00, ao, 做多4手
2025-05-26T13:13:00, cs, 平空
2025-05-26T13:31:00, cf, 做多3手
2025-05-26T18:26:00, cf, 平多
2025-05-27T14:34:00, ao, 平多
2025-05-28T18:24:00, AP, 做空3手
2025-05-29T01:01:00, pg, 做空3手
2025-05-29T01:31:00, pg, 平空
2025-05-29T13:56:00, LG, 做空3手
2025-05-29T14:01:00, i, 做空3手
2025-05-29T14:58:00, LG, 平空
2025-05-29T17:39:00, LH, 做空1手
2025-05-29T18:00:00, pg, 做空3手
2025-05-29T18:02:00, AP, 平空
2025-05-30T01:01:00, pg, 平空
2025-05-30T13:01:00, i, 平空
2025-05-30T15:12:00, PS, 做空2手
2025-05-30T15:24:00, LH, 平空
2025-06-03T13:01:00, ma, 做空10手
2025-06-03T13:02:00, PS, 平空
2025-06-03T13:30:00, ma, 平空
2025-06-04T02:44:00, ni, 做空2手
2025-06-04T13:01:00, ni, 平空
2025-06-04T17:51:00, PK, 做多5手
2025-06-04T17:52:00, LC, 做空4手
2025-06-04T18:03:00, CJ, 做空5手
2025-06-04T18:09:00, j, 做空2手
2025-06-04T18:15:00, sa, 做空9手
2025-06-04T18:18:00, jm, 做空5手
2025-06-04T18:21:00, SI, 做空6手
2025-06-04T18:21:00, v, 做空9手
2025-06-04T18:33:00, l, 做空6手
2025-06-04T18:45:00, SM, 做空8手
2025-06-05T13:01:00, LC, 平空
2025-06-05T13:01:00, PK, 平多
2025-06-05T13:43:00, l, 空单止损
2025-06-05T13:57:00, j, 平空
2025-06-05T14:00:00, v, 平空
2025-06-05T14:01:00, jm, 平空
2025-06-05T14:01:00, sa, 平空
2025-06-05T14:03:00, SI, 平空
2025-06-05T15:00:00, SM, 平空
2025-06-05T15:22:00, CJ, 平空
2025-06-06T01:10:00, nr, 做空2手
2025-06-06T01:18:00, ru, 做空2手
2025-06-06T01:27:00, br, 做空4手
2025-06-06T01:27:00, jm, 做空5手
2025-06-06T13:01:00, SM, 做空8手
2025-06-06T13:02:00, hc, 做空7手
2025-06-06T13:03:00, SF, 做空8手
2025-06-06T13:03:00, SI, 做空6手
2025-06-06T15:11:00, jm, 平空
2025-06-06T15:14:00, nr, 平空
2025-06-06T17:38:00, hc, 平空
2025-06-06T17:38:00, ru, 平空
2025-06-06T17:38:00, SI, 平空
2025-06-06T17:46:00, br, 平空
2025-06-06T18:06:00, SF, 平空
2025-06-06T18:16:00, SM, 平空
