date,value_A,value_AG,value_AL,value_AO,value_AP,value_AU,value_B,value_BC,value_BR,value_BU,value_C,value_CF,value_CJ,value_CS,value_CU,value_EB,value_EC,value_EG,value_FG,value_FU,value_HC,value_I,value_J,value_JD,value_JM,value_L,value_LC,value_LH,value_LU,value_M,value_MA,value_NI,value_NR,value_OI,value_P,value_PF,value_PG,value_PK,value_PP,value_PR,value_PX,value_RB,value_RM,value_RU,value_SA,value_SF,value_SH,value_SI,value_SM,value_SN,value_SP,value_SR,value_SS,value_TA,value_UR,value_V,value_Y,value_ZN
2024-01-25,200000.0,1000000.0,1000000.0,1000000.0,200000.0,1000000.0,200000.0,1000000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1000000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1000000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1000000.0,200000.0,200000.0,1000189.9180342198,200000.0,200000.0,200000.0,200000.0,1000000.0
2024-01-26,200000.0,1000000.0,1000000.0,1000000.0,200000.0,1000000.0,200000.0,1000000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1000000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1000000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1000000.0,200000.0,200000.0,998313.2576170237,200000.0,200000.0,200000.0,200000.0,1000000.0
2024-01-29,200000.0,1000000.0,999885.5065134148,1000000.0,200000.0,998796.0592602636,200000.0,1000039.6696458803,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,999727.138206846,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,998850.52380307,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,1001441.6813009318,200000.0,200000.0,999832.4924189273,200000.0,200000.0,200000.0,200000.0,1000054.3496290052
2024-01-30,1000000.0,1000000.0,999885.5065134148,1000000.0,1000000.0,998288.092428043,1000000.0,1002066.460348274,1000000.0,1000070.0838651566,1000000.0,1000000.0,1001023.5542210714,1000000.0,1001585.6640350232,1000000.0,1000000.0,1000000.0,998796.3249459476,1000000.0,999000.5761809016,998264.9415501652,1000000.0,1000000.0,1000000.0,999808.2851718798,1000000.0,997508.6518467128,1000000.0,1000000.0,1000000.0,999086.4338132044,1000000.0,1000000.0,1000000.0,999655.2054154064,1000000.0,1000000.0,999540.0312752808,200000.0,1000000.0,999542.7250146844,1000000.0,1000000.0,1000000.0,999539.6461446056,1000000.0,1000000.0,1000023.0499012624,1000872.5992805891,1000000.0,1000000.0,999832.4924189273,1000761.0773695016,999513.1078028226,1000000.0,1000000.0,998637.4809076546
2024-01-31,998570.9599185666,1000000.0,999885.5065134148,1000000.0,1000000.0,998288.092428043,1001594.5868879076,1002066.460348274,1000000.0,999801.7299024068,1000000.0,1001883.7815803715,1001597.6079616984,1000691.5032787382,1001585.6640350232,1000000.0,1000000.0,1000000.0,998680.2521345642,1003698.0827940312,999000.5761809016,996919.0756689664,1000000.0,1000000.0,1000000.0,1000221.5400798516,1000000.0,999447.1485620756,1003629.5112041936,998731.3643076776,1001886.0405580046,999086.4338132044,1000000.0,1000000.0,1000000.0,999295.707360362,1000000.0,1000000.0,1000356.5593334972,200000.0,1000000.0,999542.7250146844,1001425.5339184408,1000000.0,1000000.0,998779.716909884,1000000.0,1000000.0,998565.5106420716,1000328.072342907,1000000.0,1001914.1742469696,999832.4924189273,999297.6359021676,996165.6111438968,1000000.0,1000000.0,998637.4809076546
2024-02-01,998340.0420122772,999204.3140599012,999885.5065134148,1000000.0,1000000.0,998288.092428043,1001594.5868879076,1001647.1260982292,1000000.0,999801.7299024068,1000000.0,1000878.54544872,1000531.5081576786,999224.4647545996,1001160.271687407,1000000.0,1000000.0,1000000.0,997244.9653926762,1002760.9046863528,999000.5761809016,996919.0756689664,1000000.0,1000000.0,1000000.0,1000221.5400798516,1000000.0,999447.1485620756,1003481.530922382,995991.5484291952,1000219.9579762188,999086.4338132044,1000000.0,999297.768796888,1000000.0,996734.643216222,1000000.0,1000000.0,1000356.5593334972,200000.0,1000000.0,999542.7250146844,997011.2051041112,1000000.0,1000000.0,998779.716909884,1000000.0,1000000.0,998565.5106420716,1001351.4747629534,1000000.0,1001914.1742469696,999832.4924189273,996400.8120552396,996165.6111438968,1000000.0,1000000.0,998637.4809076546
2024-02-02,999633.1822874994,999204.3140599012,999885.5065134148,1000000.0,1000000.0,998288.092428043,1001594.5868879076,999444.5841872228,999598.8549919536,999801.7299024068,1000000.0,1000569.2420235968,1002991.738474648,999622.6190100508,998857.4419967072,1000000.0,1000000.0,1000000.0,997244.9653926762,998109.143394759,999000.5761809016,996919.0756689664,1000000.0,999815.2565415726,1000000.0,1000221.5400798516,997163.8649077358,999447.1485620756,997495.744541634,997967.0421980824,998992.318179113,999086.4338132044,1000000.0,1001119.1698817194,1000000.0,996734.643216222,1000000.0,1000000.0,1000356.5593334972,200000.0,1000000.0,999542.7250146844,999402.29987854,1000000.0,1000000.0,998779.716909884,1000000.0,1000789.6669851472,998565.5106420716,1001351.4747629534,1000000.0,1001914.1742469696,999832.4924189273,996400.8120552396,996165.6111438968,1000315.1665521238,1000000.0,998637.4809076546
2024-02-05,999125.162893662,999204.3140599012,999885.5065134148,1000000.0,1000000.0,997647.5339776598,1001594.5868879076,999444.5841872228,999598.8549919536,999801.7299024068,999222.52051509,1000878.5454487205,1004262.1850087956,999622.6190100508,998857.4419967072,1000000.0,1000000.0,1000000.0,997244.9653926762,998109.143394759,999000.5761809016,996919.0756689664,1000000.0,999815.2565415726,1000000.0,1000221.5400798516,997163.8649077358,999447.1485620756,997495.744541634,997967.0421980824,999430.7609637931,999086.4338132044,1002291.9078421546,1002005.5960421772,1000000.0,996810.1258245128,1000000.0,1000000.0,1000356.5593334972,200000.0,1000000.0,999542.7250146844,1001287.9356106909,1001068.6080891326,1000000.0,998779.716909884,999403.7707788256,1001368.1328959272,998565.5106420716,1001351.4747629534,1000000.0,1001914.1742469696,999832.4924189273,996400.8120552396,996165.6111438968,1000509.7866040792,1000000.0,998637.4809076546
2024-02-06,997187.5584521336,999204.3140599012,999885.5065134148,1000000.0,1000000.0,997647.5339776598,1001594.5868879076,999444.5841872228,999598.8549919536,999801.7299024068,999222.52051509,1000906.3054311252,1004262.1850087956,999622.6190100508,998857.4419967072,1000000.0,1000000.0,1000000.0,997244.9653926762,998109.143394759,999000.5761809016,996919.0756689664,1000000.0,999815.2565415726,1001333.0635677882,1000318.6680634648,997163.8649077358,999447.1485620756,997495.744541634,997967.0421980824,1000219.9579762184,999086.4338132044,1002291.9078421546,1002005.596042177,1000431.1386050262,997245.226320534,1000000.0,1000000.0,998725.3082500752,200000.0,999790.2518600584,999542.7250146844,1001287.9356106909,1001972.0643701032,1000000.0,998779.716909884,999403.7707788254,1001368.1328959272,998565.5106420716,1001351.4747629534,1000000.0,1001914.1742469696,999832.4924189273,995363.5393776085,996165.6111438968,1000509.7866040792,1000000.0,998637.4809076546
2024-02-07,997187.5584521336,999204.3140599012,999091.9174958344,1000000.0,1000000.0,997647.5339776598,1001594.5868879076,999444.5841872228,999598.8549919536,999801.7299024068,999222.52051509,1000906.3054311252,1004262.1850087956,999622.6190100508,998857.4419967072,1000000.0,989906.5219226738,1000000.0,997244.9653926762,998109.143394759,999000.5761809016,996919.0756689664,1000000.0,999815.2565415726,1003371.5651787892,999565.0330463324,997163.8649077358,999447.1485620756,997607.6469434396,997967.0421980824,1004516.6972660878,999086.4338132044,1002291.9078421546,1004902.8207881734,1000431.1386050262,997007.2892879384,1000000.0,1000000.0,998725.3082500752,200000.0,998396.2772661756,999542.7250146844,1001287.9356106909,1004230.7050725304,1000000.0,998779.716909884,1002883.9232995438,1001368.1328959272,999424.0071665776,1001351.4747629534,1000000.0,1001914.1742469696,999832.4924189273,994898.1942598256,996165.6111438968,1000509.7866040792,1003135.7796580936,998637.4809076546
