entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-04 04:51:00,2017-01-04 13:11:00,12060.445677808211,12026.971007013344,AL,-4877.74,-5696.55
2017-01-05 04:11:00,2017-01-05 13:31:00,12146.523402709305,12089.138252775245,AL,10257.6,9457.66
2017-01-05 15:11:00,2017-01-05 17:59:00,12084.356156947404,12060.445677808211,AL,-4064.78,-4885.7
2017-01-07 04:01:00,2017-01-09 17:53:00,12103.484540258758,12050.881486152535,AL,-8942.52,-9763.77
2017-01-10 13:11:00,2017-01-10 13:31:00,12089.138252775245,12003.060527874151,AL,14633.21,13814.08
2017-01-11 04:31:00,2017-01-11 18:54:00,12414.320769068248,12466.92382317447,AL,-7890.46,-8711.7
2017-01-12 04:41:00,2017-01-12 15:07:00,12466.92382317447,12443.013344035277,AL,3945.23,3123.2
2017-01-13 04:01:00,2017-01-13 14:02:00,12816.016818606666,12935.569214302624,AL,-19128.38,-19952.43
2017-01-14 04:00:00,2017-01-16 18:33:00,12811.234722778829,12715.59280622206,AL,-16067.84,-16884.85
2017-01-16 18:51:00,2017-01-17 14:51:00,12787.324243639636,12916.44083099127,AL,19893.52,19071.15
2017-01-17 15:11:00,2017-01-17 15:30:00,12777.76005198396,12667.771847943675,AL,15302.71,14488.3
2017-01-17 18:31:00,2017-01-18 04:30:00,12749.06747701693,12672.553943771516,AL,-10711.89,-11525.39
2017-01-18 13:11:00,2017-01-19 04:13:00,12753.849572844769,12816.016818606666,AL,10711.89,9893.81
2017-01-19 13:21:00,2017-01-21 04:01:00,12792.106339467477,13203.366580661568,AL,-65801.64,-66633.8
2017-01-23 01:11:00,2017-01-23 03:44:00,12835.145201918018,13212.930772317244,AL,-60445.69,-61279.23
2017-01-23 14:41:00,2017-01-25 01:03:00,13145.981430727508,13232.059155628598,AL,-13342.05,-14159.77
2017-01-25 13:11:00,2017-01-25 18:05:00,13418.560892914293,13480.72813867619,AL,-10042.4,-10849.24
2017-01-26 13:11:00,2017-01-26 13:57:00,13246.405443112111,13174.674005694538,AL,-9635.92,-10454.98
2017-02-06 13:11:00,2017-02-06 14:32:00,13241.623347284274,13145.981430727508,AL,14083.27,13265.11
2017-02-07 01:11:00,2017-02-07 04:47:00,13064.685801654256,13098.160472449126,AL,4447.35,3636.15
2017-02-07 18:21:00,2017-02-08 13:22:00,13007.300651720196,13040.775322515066,AL,5188.57,4381.08
2017-02-10 01:11:00,2017-02-10 13:15:00,13169.475320756472,13126.686411772063,AL,-7369.2,-8184.23
2017-02-10 17:41:00,2017-02-10 18:31:00,13126.686411772063,13221.772876181858,AL,15475.32,14658.37
2017-02-13 01:11:00,2017-02-13 03:02:00,13178.98396719745,13321.61366381214,AL,-22844.52,-23665.89
2017-02-15 01:21:00,2017-02-16 02:18:00,13621.136026702992,13706.713844671807,AL,-12123.52,-12943.5
2017-02-16 14:41:00,2017-02-16 18:18:00,13778.028692979153,13663.9249356874,AL,17115.56,16292.3
2017-02-17 02:51:00,2017-02-17 14:46:00,13644.90764280544,13526.049562293198,AL,-17828.71,-18643.56
2017-02-20 01:21:00,2017-02-20 02:19:00,13354.89392635557,13259.807461945777,AL,-13549.82,-14348.12
2017-02-20 15:01:00,2017-02-21 01:10:00,13426.208774662917,13526.049562293198,AL,-14976.12,-15784.69
2017-02-21 17:51:00,2017-02-22 13:04:00,13545.066855175157,13454.734713985852,AL,-14262.97,-15073.11
2017-02-23 01:21:00,2017-02-23 02:28:00,13307.350694150671,13373.911219237529,AL,10316.88,9489.76
2017-02-23 13:11:00,2017-02-23 13:56:00,13350.13960313508,13274.070431607244,AL,12123.52,11324.94
2017-02-24 01:11:00,2017-02-24 03:13:00,13217.018552961368,13136.195058213045,AL,-11053.8,-11870.75
2017-02-27 01:01:00,2017-02-27 01:26:00,13140.949381433533,13074.388856346675,AL,4421.52,3610.02
2017-02-28 01:11:00,2017-03-01 03:12:00,13183.73829041794,13302.596370930183,AL,19896.84,19075.77
2017-03-01 13:31:00,2017-03-01 15:18:00,13297.842047709692,13421.454451442423,AL,-19159.92,-19988.52
2017-03-02 18:31:00,2017-03-03 01:10:00,13426.208774662917,13388.174188898996,AL,-5705.19,-6509.62
2017-03-03 13:31:00,2017-03-03 17:48:00,13264.561785166265,13354.89392635557,AL,14001.48,13176.28
2017-03-04 04:01:00,2017-03-06 15:10:00,13240.790169063815,13150.458027874512,AL,15475.32,14657.19
2017-03-07 01:51:00,2017-03-07 18:36:00,13116.730865823736,13064.811456135336,AL,-8047.51,-8859.14
2017-03-08 02:41:00,2017-03-08 03:19:00,13074.251348805954,13017.611992782246,AL,9510.69,8701.99
2017-03-08 04:51:00,2017-03-08 13:07:00,13050.65161712941,13121.450812159044,AL,10242.28,9431.09
2017-03-08 17:41:00,2017-03-08 19:00:00,13107.290973153118,13017.611992782246,AL,13900.24,13090.37
2017-03-09 02:51:00,2017-03-09 15:18:00,12998.73220744101,12937.372905081991,AL,-10242.28,-11046.16
2017-03-10 01:31:00,2017-03-10 15:22:00,12932.652958746685,13008.172100111628,AL,11705.47,10901.3
2017-03-13 02:21:00,2017-03-13 03:10:00,13154.490436506208,13022.331939117556,AL,20484.57,19673.38
2017-03-14 01:21:00,2017-03-14 14:02:00,13074.251348805954,12965.692583093847,AL,17558.2,16751.11
2017-03-15 01:41:00,2017-03-16 03:33:00,12942.092851417305,13088.411187811882,AL,23410.93,22603.84
2017-03-16 14:01:00,2017-03-16 17:36:00,13055.371563464718,13130.890704829662,AL,-11705.47,-12517.24
2017-03-17 13:21:00,2017-03-17 13:40:00,13126.170758494354,13074.251348805954,AL,-7315.92,-8127.98
2017-03-20 03:41:00,2017-03-20 13:25:00,13083.691241476572,13012.892046446936,AL,11705.47,10896.33
2017-03-20 17:41:00,2017-03-21 01:05:00,13008.172100111628,13064.811456135336,AL,8047.51,7239.1
2017-03-21 03:21:00,2017-03-21 14:50:00,13041.211724458792,12937.372905081991,AL,16095.02,15289.68
2017-03-21 17:31:00,2017-03-21 17:49:00,12975.132475764463,13012.892046446936,AL,5852.73,5047.4
2017-03-22 03:21:00,2017-03-22 03:37:00,13112.010919488426,13036.491778123482,AL,10973.88,10163.13
2017-03-22 17:51:00,2017-03-22 18:25:00,13003.45215377632,13064.811456135336,AL,9510.69,8702.58
2017-03-23 01:11:00,2017-03-23 17:36:00,12984.572368435083,13116.730865823736,AL,-20484.57,-21293.71
2017-03-24 01:01:00,2017-03-24 13:37:00,13060.091509800028,12994.0122611057,AL,7315.92,6508.82
2017-03-24 17:31:00,2017-03-24 18:25:00,12975.132475764463,13003.45215377632,AL,5121.14,4315.95
2017-03-27 18:01:00,2017-03-29 02:57:00,12890.173441728904,12946.812797752613,AL,9062.3,8235.51
2017-03-29 13:21:00,2017-03-30 03:14:00,13041.211724458792,13083.691241476572,AL,-5852.73,-6662.75
2017-03-30 17:51:00,2017-03-31 01:10:00,13041.211724458792,13088.411187811882,AL,8047.51,7237.64
2017-03-31 04:01:00,2017-04-05 13:25:00,13097.8510804825,13187.53006085337,AL,-13900.24,-14714.8
2017-04-06 04:51:00,2017-04-06 13:24:00,13319.688558242022,13253.609309547695,AL,-10973.88,-11797.79
2017-04-07 13:11:00,2017-04-08 04:01:00,13230.009577871151,13324.408504577332,AL,16095.02,15271.83
2017-04-10 13:11:00,2017-04-10 13:29:00,13272.489094888932,13381.04786060104,AL,-16095.02,-16921.42
2017-04-11 02:01:00,2017-04-11 02:32:00,13230.009577871151,13182.81011451806,AL,-6584.33,-7402.98
2017-04-13 04:21:00,2017-04-13 14:51:00,13060.304363500189,13125.886953560805,AL,10165.3,9353.53
2017-04-14 03:11:00,2017-04-14 15:14:00,13219.576367933116,13303.896840868196,AL,-12343.58,-13165.95
2017-04-15 04:00:00,2017-04-17 01:14:00,13327.319194461274,13388.217313803276,AL,-6534.84,-7363.89
2017-04-19 04:51:00,2017-04-19 13:38:00,13322.634723742658,13425.6930795522,AL,15974.05,15144.85
2017-04-20 04:41:00,2017-04-20 18:27:00,13280.474487275118,13369.479430928814,AL,13795.77,12969.62
2017-04-21 13:51:00,2017-04-22 04:01:00,13449.115433145278,13332.00366517989,AL,17566.77,16763.61
2017-04-24 03:11:00,2017-04-24 13:02:00,13327.319194461274,13392.901784521891,AL,9439.21,8611.03
2017-04-24 18:31:00,2017-04-24 18:58:00,13392.901784521891,13411.639667396354,AL,-4216.02,-5020.16
2017-04-25 02:21:00,2017-04-25 14:00:00,13360.110489491582,13416.32413811497,AL,9837.39,9034.1
2017-04-26 03:31:00,2017-04-26 13:17:00,13500.64461105005,13561.542730392051,AL,-9134.72,-9946.58
2017-04-27 01:51:00,2017-04-27 13:34:00,13505.329081768665,13435.062020989431,AL,-10540.06,-11348.55
2017-04-27 14:41:00,2017-04-28 01:22:00,13467.85331601974,13425.6930795522,AL,-7026.71,-7833.65
2017-04-28 04:41:00,2017-04-28 13:23:00,13327.319194461274,13406.955196677738,AL,11617.49,10788.58
2017-05-03 02:31:00,2017-05-04 01:03:00,13079.042246374647,13013.459656314031,AL,-10165.3,-10974.17
2017-05-04 14:41:00,2017-05-04 18:30:00,13022.828597751262,12990.037302720952,AL,-5082.65,-5888.76
2017-05-05 13:11:00,2017-05-05 13:26:00,13004.0907148768,13060.304363500189,AL,-7987.02,-8795.16
2017-05-08 02:41:00,2017-05-08 13:17:00,13069.673304937418,12985.352832002338,AL,-13069.67,-13877.38
2017-05-09 02:11:00,2017-05-09 18:49:00,12854.187651881102,12947.877066253412,AL,14990.31,14164.34
2017-05-11 13:51:00,2017-05-12 01:02:00,12845.17034159128,12947.745204573135,AL,15665.98,14840.75
2017-05-12 01:31:00,2017-05-12 18:27:00,12877.807797994596,12980.382660976453,AL,-17157.98,-17985.59
2017-05-13 04:00:00,2017-05-15 13:52:00,12919.77024194172,13017.682611151671,AL,-10840.3,-11644.94
2017-05-16 01:31:00,2017-05-16 03:35:00,13031.67009246738,13092.282511502111,AL,-9394.92,-10204.77
2017-05-16 18:51:00,2017-05-17 01:03:00,13003.695129835964,13064.307548870696,AL,10117.61,9309.36
2017-05-17 17:41:00,2017-05-18 01:04:00,13087.620017730207,13134.244955449232,AL,7949.55,7136.82
2017-05-19 01:31:00,2017-05-19 04:02:00,12989.707648520256,13027.007598695476,AL,5781.49,4974.97
2017-05-22 03:41:00,2017-05-22 13:43:00,13176.207399396357,13138.907449221137,AL,5781.49,4965.72
2017-05-23 01:41:00,2017-05-23 14:02:00,13045.657573783086,12985.045154748354,AL,-9394.92,-10201.59
2017-05-23 17:51:00,2017-05-24 04:36:00,13013.020117379769,13078.295030186404,AL,10840.3,10031.61
2017-05-24 13:31:00,2017-05-25 03:40:00,13045.657573783086,12989.707648520256,AL,7949.55,7142.31
2017-05-26 02:11:00,2017-05-31 13:02:00,13120.257474133528,13036.33258623928,AL,13731.04,12920.33
2017-06-01 03:01:00,2017-06-01 18:26:00,12840.507847819375,12943.082710801233,AL,16411.98,15587.2
2017-06-01 18:51:00,2017-06-02 14:49:00,12868.482810450792,12905.782760626013,AL,-4475.99,-5300.77
2017-06-05 02:21:00,2017-06-06 01:49:00,12845.17034159128,12742.595478609426,AL,-16411.98,-17230.79
2017-06-06 13:31:00,2017-06-07 13:34:00,12784.557922556549,12803.20789764416,AL,4475.99,3657.19
2017-06-07 17:41:00,2017-06-07 18:32:00,12775.232935012744,12747.257972381329,AL,-3730.0,-4546.86
2017-06-08 13:51:00,2017-06-08 14:38:00,12789.220416328451,12812.532885187964,AL,-3730.0,-4549.55
2017-06-09 14:51:00,2017-06-09 15:27:00,12840.548317928064,12812.65429551403,AL,-4463.04,-5283.95
2017-06-12 18:11:00,2017-06-13 04:32:00,12780.11126936432,12770.813261892976,AL,-743.84,-1561.32
2017-06-13 14:11:00,2017-06-13 14:47:00,12784.760273099992,12752.217246950284,AL,4463.04,3646.01
2017-06-14 02:01:00,2017-06-14 18:09:00,12766.164258157303,12733.621232007594,AL,-5950.72,-6766.57
2017-06-15 03:51:00,2017-06-15 04:19:00,12710.37621332923,12612.747134880105,AL,-14876.81,-15687.0
2017-06-16 15:01:00,2017-06-17 04:55:00,12654.588168501155,12631.343149822793,AL,3719.2,2910.05
2017-06-20 01:11:00,2017-06-20 03:20:00,12794.058280571338,12859.144332870756,AL,-9669.93,-10490.98
2017-06-21 13:11:00,2017-06-21 14:00:00,12952.124407584211,12980.018429998248,AL,4323.57,3519.39
2017-06-22 17:41:00,2017-06-22 18:01:00,12900.985366491812,12873.091344077777,AL,-5950.72,-6775.5
2017-06-23 13:11:00,2017-06-23 13:15:00,12854.495329135085,12831.25031045672,AL,3719.2,2897.26
2017-06-24 04:01:00,2017-06-27 03:01:00,12887.038355284792,12775.462265628648,AL,17852.17,17030.97
2017-06-27 04:21:00,2017-06-27 18:49:00,12826.601306721048,12896.33636275614,AL,12645.29,11822.16
2017-06-28 13:31:00,2017-06-28 18:32:00,12956.773411319884,12924.230385170174,AL,5044.17,4241.86
2017-06-29 03:51:00,2017-06-29 04:36:00,12980.018429998248,12989.316437469592,AL,-720.6,-1525.5
2017-06-30 01:01:00,2017-06-30 13:24:00,13003.263448676613,12966.071418791227,AL,5044.17,4238.98
2017-06-30 17:51:00,2017-07-03 02:17:00,12933.52839264152,12989.316437469592,AL,7926.55,7122.8
2017-07-04 18:21:00,2017-07-05 02:40:00,13068.34950097603,13128.786549539776,AL,9367.74,8555.63
2017-07-05 13:11:00,2017-07-05 14:38:00,13124.137545804102,13189.22359810352,AL,-10088.34,-10904.05
2017-07-06 03:41:00,2017-07-06 14:47:00,13170.627583160827,13138.08455701112,AL,-5044.17,-5859.74
2017-07-06 18:21:00,2017-07-07 02:40:00,13142.733560746794,13087.223605515856,AL,-8604.04,-9417.17
2017-07-07 03:11:00,2017-07-11 01:06:00,13133.435553275447,13077.98121596394,AL,-9311.71,-10124.12
2017-07-11 03:41:00,2017-07-11 13:32:00,13054.875242084145,12980.9361256688,AL,-11460.56,-12267.96
2017-07-12 03:41:00,2017-07-12 17:33:00,13133.435553275447,13184.268695810995,AL,-10027.99,-10843.98
2017-07-12 18:01:00,2017-07-13 14:39:00,13147.299137603324,13207.374669690793,AL,-10744.28,-11561.27
2017-07-14 01:01:00,2017-07-14 01:02:00,13235.101838346543,13387.601265953192,AL,-8595.42,-9423.73
2017-07-15 04:01:00,2017-07-17 01:17:00,13309.04095476189,13346.010512969562,AL,5730.28,4903.69
2017-07-18 01:11:00,2017-07-18 13:24:00,13387.601265953192,13309.04095476189,AL,11784.05,10983.42
2017-07-18 13:41:00,2017-07-18 15:20:00,13327.525733865725,13276.692591330177,AL,-7879.14,-8703.87
2017-07-19 04:31:00,2017-07-19 13:56:00,13336.768123417643,13304.41975998593,AL,4852.25,4053.02
2017-07-20 02:21:00,2017-07-20 17:44:00,13350.63170774552,13382.980071177231,AL,-4159.08,-4961.22
2017-07-21 04:21:00,2017-07-21 18:27:00,13322.904539089766,13387.601265953192,AL,10027.99,9199.97
2017-07-21 18:41:00,2017-07-24 01:18:00,13346.010512969562,13392.222460729152,AL,-6931.79,-7733.94
2017-07-25 01:11:00,2017-07-25 01:20:00,13346.010512969562,13322.904539089766,AL,3465.9,2665.83
2017-07-25 18:11:00,2017-07-26 01:05:00,13433.81321371278,13484.646356248331,AL,-8318.15,-9125.84
2017-07-27 02:31:00,2017-07-27 05:00:00,13419.949629384906,13359.87409729744,AL,-9011.33,-9814.72
2017-07-28 03:31:00,2017-07-28 15:16:00,13378.358876401277,13309.04095476189,AL,10397.69,9597.07
2017-07-28 18:51:00,2017-07-31 18:35:00,13295.177370434012,13346.010512969562,AL,8595.42,7769.4
2017-08-01 02:01:00,2017-08-02 15:29:00,13369.116486849356,13466.161577144496,AL,-13863.58,-14668.78
2017-08-03 02:41:00,2017-08-03 18:46:00,13618.661004751142,13493.888745800248,AL,19409.02,18595.78
2017-08-04 03:01:00,2017-08-04 13:23:00,13503.011553873455,13558.107146748833,AL,7575.64,6763.67
2017-08-04 15:11:00,2017-08-04 18:01:00,13562.698446155113,13626.976637843052,AL,-10330.42,-11145.98
2017-08-08 13:01:00,2017-08-08 13:11:00,14150.384770159126,14233.028159472193,AL,-10651.81,-11475.2
2017-08-09 14:11:00,2017-08-10 01:10:00,14875.81007635158,15031.914256165146,AL,-21693.89,-22501.27
2017-08-10 04:01:00,2017-08-11 02:09:00,14834.488381695048,14724.297195944297,AL,-14875.81,-15673.9
2017-08-11 18:01:00,2017-08-14 01:02:00,14774.80148941339,14834.488381695048,AL,8356.16,7527.1
2017-08-14 17:41:00,2017-08-15 13:07:00,14660.019004256355,14393.723638692038,AL,-37281.35,-38094.86
2017-08-16 03:21:00,2017-08-16 13:04:00,14591.149513162136,14669.20160306892,AL,-10284.51,-11103.93
2017-08-18 13:21:00,2017-08-18 17:46:00,14875.81007635158,15031.914256165146,AL,19834.41,19026.9
2017-08-19 04:00:00,2017-08-19 04:01:00,15013.54905854002,14917.131771008111,AL,619.83,-185.82
2017-08-21 18:31:00,2017-08-22 01:13:00,15119.148944884491,15004.366459727456,AL,16735.29,15921.95
2017-08-22 17:41:00,2017-08-23 02:59:00,15041.096854977708,14894.175273976703,AL,-19214.59,-20022.96
2017-08-23 03:41:00,2017-08-23 14:34:00,14930.905669226957,14811.53188466364,AL,-16115.46,-16918.51
2017-08-24 13:11:00,2017-08-24 14:44:00,15298.209621729464,15188.01843597871,AL,14875.81,14052.68
2017-08-25 01:31:00,2017-08-26 04:01:00,15155.87934013474,14995.183860914894,AL,-22313.72,-23127.67
2017-08-28 01:11:00,2017-08-28 13:02:00,15316.57481935459,14959.995350709196,AL,-48754.9,-49572.24
2017-08-28 17:41:00,2017-08-29 02:18:00,15074.19378850087,14969.13122573253,AL,-13566.77,-14377.82
2017-08-30 01:11:00,2017-08-31 17:52:00,14991.970913290865,15078.761726012535,AL,11716.76,10904.85
2017-09-04 01:11:00,2017-09-04 13:44:00,15320.862414130885,15435.060851922555,AL,-15416.79,-16247.2
2017-09-05 02:41:00,2017-09-05 15:03:00,15179.256351269209,15097.033476059203,AL,-11716.76,-12534.34
2017-09-05 15:21:00,2017-09-06 01:05:00,15138.144913664206,15065.057913477536,AL,-10483.42,-11298.78
2017-09-06 13:11:00,2017-09-07 02:03:00,14973.699163244197,14859.500725452524,AL,-14800.12,-15605.74
2017-09-07 03:21:00,2017-09-07 18:30:00,14909.74803808086,14827.525162870856,AL,-10483.42,-11286.45
2017-09-08 02:51:00,2017-09-08 17:46:00,14822.957225359189,14717.894662590848,AL,-14183.45,-14981.05
2017-09-11 01:21:00,2017-09-11 14:47:00,14562.584787194171,14722.462600102515,AL,22382.89,21562.91
2017-09-12 13:11:00,2017-09-12 13:55:00,15165.552538734208,15119.873163617538,AL,6166.72,5349.01
2017-09-13 02:31:00,2017-09-13 17:36:00,15229.503663897543,15092.465538547538,AL,17266.8,16448.11
2017-09-14 02:41:00,2017-09-14 13:10:00,15042.2182259192,15151.848726199209,AL,14183.45,13368.33
2017-09-14 13:51:00,2017-09-14 15:16:00,15083.329663524204,15192.96016380421,AL,-15416.79,-16234.37
