entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-05 18:51:00,2017-01-06 01:29:00,3100.892331916554,3121.9391124499243,BU,13680.41,12871.44
2017-01-06 15:21:00,2017-01-06 17:39:00,3171.0482670277884,3150.001486494418,BU,11973.28,11164.48
2017-01-09 17:51:00,2017-01-10 01:12:00,3154.678548835167,3124.277643620299,BU,19456.58,18653.47
2017-01-10 14:41:00,2017-01-11 01:23:00,3093.8767384054304,3138.3088306425457,BU,28880.86,28070.68
2017-01-11 13:11:00,2017-01-11 18:43:00,3161.6941423462904,3119.6005812795497,BU,26939.88,26135.87
2017-01-16 01:21:00,2017-01-16 13:03:00,3196.772109901908,3215.480359264903,BU,-11786.2,-12594.14
2017-01-16 15:21:00,2017-01-17 13:33:00,3222.4959527760266,3236.5271397982738,BU,-8839.65,-9653.48
2017-01-17 14:01:00,2017-01-17 15:27:00,3206.126234583405,3180.4023917092863,BU,14732.75,13927.75
2017-01-18 01:21:00,2017-01-18 13:32:00,3152.3400176647924,3117.262050109175,BU,-23946.56,-24749.37
2017-01-20 13:11:00,2017-01-20 13:39:00,3112.5849877684263,3084.522613723933,BU,16720.5,15914.57
2017-01-23 02:11:00,2017-01-24 02:23:00,3044.767583827567,3021.3822721238216,BU,-13890.88,-14691.92
2017-01-24 15:01:00,2017-01-25 13:48:00,3075.168489042435,3096.215269575805,BU,-12347.44,-13161.76
2017-01-26 01:21:00,2017-01-26 01:31:00,3082.1840825535583,3114.923518938801,BU,19760.59,18954.66
2017-01-26 17:41:00,2017-01-26 18:32:00,3110.246456598052,3135.970299472171,BU,-15200.45,-16012.76
2017-02-06 17:31:00,2017-02-06 18:20:00,3203.787703413031,3194.433578731533,BU,7366.37,6560.49
2017-02-07 13:41:00,2017-02-07 14:11:00,3178.063860538912,3152.3400176647924,BU,-16206.02,-17003.65
2017-02-09 13:21:00,2017-02-09 18:57:00,3213.1418280945286,3182.7409228796605,BU,19152.57,18346.69
2017-02-10 01:31:00,2017-02-10 14:09:00,3201.4491722426565,3234.188608627899,BU,20625.84,19814.95
2017-02-13 17:51:00,2017-02-14 17:39:00,3425.948164598606,3411.9169775763594,BU,8278.4,7471.53
2017-02-16 01:51:00,2017-02-16 18:30:00,3323.0527931021293,3278.620700865014,BU,-27103.58,-27908.98
2017-02-17 01:11:00,2017-02-20 01:29:00,3290.3133567168866,3252.8968579908947,BU,-21397.56,-22196.12
2017-02-21 02:01:00,2017-02-21 15:12:00,3369.8234165096187,3341.761042465125,BU,15434.31,14628.63
2017-02-21 18:31:00,2017-02-22 01:07:00,3337.083980124376,3365.146354168869,BU,16837.42,16033.16
2017-02-23 14:11:00,2017-02-23 14:42:00,3376.839010020742,3355.792229487372,BU,-12628.07,-13435.42
2017-02-24 01:21:00,2017-02-24 13:33:00,3302.0060125687587,3250.5583268205205,BU,-31383.09,-32182.5
2017-02-27 17:51:00,2017-02-28 14:41:00,3421.271102257857,3388.531665872614,BU,17936.53,17132.7
2017-02-28 17:31:00,2017-03-01 02:37:00,3395.547259383738,3360.4692918281207,BU,-20696.0,-21493.21
2017-03-02 15:21:00,2017-03-02 17:42:00,3407.23991523561,3388.531665872614,BU,-11037.87,-11839.77
2017-03-06 18:41:00,2017-03-07 13:12:00,3327.729855442878,3344.0995736354994,BU,11412.03,10598.35
2017-03-08 13:11:00,2017-03-08 14:06:00,3365.146354168869,3318.37573076138,BU,28062.37,27260.35
2017-03-10 01:01:00,2017-03-10 01:02:00,3133.6317683017965,3089.1996760646816,BU,-5986.64,-6778.67
2017-03-13 14:41:00,2017-03-13 18:50:00,3093.8767384054304,3140.6473618129203,BU,28880.86,28070.07
2017-03-14 02:21:00,2017-03-14 17:59:00,3135.970299472171,3096.215269575805,BU,25443.22,24645.5
2017-03-15 02:11:00,2017-03-15 02:56:00,3068.1528955313115,3107.9079254276776,BU,26238.32,25423.7
2017-03-15 18:01:00,2017-03-16 01:05:00,3112.5849877684263,3138.3088306425457,BU,-16720.5,-17533.72
2017-03-16 14:41:00,2017-03-17 01:49:00,3133.6317683017965,3100.892331916554,BU,20953.24,20155.22
2017-03-20 02:51:00,2017-03-20 13:06:00,3180.4023917092863,3147.662955324044,BU,20625.84,19828.51
2017-03-21 01:01:00,2017-03-21 18:35:00,3150.001486494418,3178.063860538912,BU,28436.54,27628.64
2017-03-22 01:11:00,2017-03-22 02:10:00,3166.371204687039,3135.970299472171,BU,19456.58,18649.88
2017-03-23 13:11:00,2017-03-24 13:06:00,3058.798770849813,3026.059334464571,BU,-21608.03,-22411.23
2017-03-24 17:41:00,2017-03-27 02:23:00,3023.720803294196,2995.6584292497027,BU,-20368.61,-21175.52
2017-03-27 18:41:00,2017-03-28 02:59:00,2937.1951499903407,2965.2575240348347,BU,17749.45,16934.59
2017-03-28 18:31:00,2017-03-29 01:02:00,3012.028147442324,3051.78317733869,BU,-28202.69,-29015.55
2017-03-30 02:41:00,2017-04-05 13:02:00,3063.4758331905623,3117.262050109175,BU,37042.33,36226.79
2017-04-06 02:41:00,2017-04-07 13:38:00,3238.865670968648,3276.28216969464,BU,-21748.34,-22556.51
2017-04-07 15:01:00,2017-04-07 17:53:00,3259.9124515020185,3201.4491722426565,BU,36247.23,35446.02
2017-04-10 02:21:00,2017-04-10 13:02:00,3201.4491722426565,3236.5271397982738,BU,22099.12,21287.93
2017-04-12 13:11:00,2017-04-12 18:53:00,3014.3666786126983,2951.2263370125875,BU,-43870.84,-44669.92
2017-04-13 01:21:00,2017-04-14 13:11:00,2974.611648716332,2941.872212331089,BU,-22262.82,-23067.46
2017-04-14 18:51:00,2017-04-17 01:21:00,2874.05480839023,2934.856618819966,BU,42561.27,41748.02
2017-04-17 14:11:00,2017-04-18 14:50:00,2923.163962968094,2890.4245265828517,BU,22590.21,21787.94
2017-04-18 18:01:00,2017-04-19 01:04:00,2895.1015889236,2864.700683708732,BU,-19643.66,-20450.36
2017-04-20 02:31:00,2017-04-20 13:04:00,2923.163962968094,2885.747464242102,BU,25817.38,25015.75
2017-04-20 18:21:00,2017-04-21 02:15:00,2874.05480839023,2923.163962968094,BU,34376.41,33564.14
2017-04-21 13:41:00,2017-04-21 14:53:00,2911.4713071162214,2885.747464242102,BU,17749.45,16949.44
2017-04-24 01:31:00,2017-04-24 01:37:00,2883.408933071728,2864.700683708732,BU,-13095.77,-13899.86
2017-04-25 02:11:00,2017-04-25 02:58:00,2878.7318707309787,2904.455713605098,BU,-16369.72,-17179.04
2017-04-26 14:51:00,2017-04-26 17:44:00,2870.8529876756515,2907.3952691416903,BU,23980.87,23171.6
2017-04-27 01:11:00,2017-04-27 02:35:00,2877.704665450534,2932.5180876495915,BU,-38369.4,-39182.83
2017-04-28 01:11:00,2017-04-28 01:36:00,2943.937550607729,2950.789228382611,BU,-1553.05,-2354.73
2017-04-28 02:11:00,2017-04-28 13:02:00,2932.5180876495915,2962.208691340748,BU,-18910.63,-19723.79
2017-05-02 13:21:00,2017-05-04 01:07:00,3003.3187579900414,2959.9247987491203,BU,29073.95,28274.88
2017-05-05 01:01:00,2017-05-05 13:03:00,2893.6919135919256,2836.5945988012404,BU,-30375.77,-31175.45
2017-05-08 18:31:00,2017-05-08 18:47:00,2813.7556728849663,2797.7684247435745,BU,-11510.82,-12318.88
2017-05-11 15:01:00,2017-05-11 18:17:00,2836.5945988012404,2795.484532151947,BU,27566.58,26766.5
2017-05-12 13:21:00,2017-05-15 14:00:00,2806.903995110084,2834.310706209613,BU,23021.64,22209.3
2017-05-16 13:51:00,2017-05-16 18:49:00,2877.704665450534,2914.246946916572,BU,-23980.87,-24792.07
2017-05-17 02:21:00,2017-05-18 02:33:00,2905.1113765500627,2916.5308395082,BU,-9455.32,-10258.39
2017-05-18 13:11:00,2017-05-18 14:36:00,2893.6919135919256,2859.4335247175145,BU,20783.42,19977.99
2017-05-18 17:31:00,2017-05-18 18:51:00,2882.2724506337886,2916.5308395082,BU,23980.87,23169.68
2017-05-19 14:51:00,2017-05-19 17:44:00,2948.5053357909837,2964.492583932375,BU,-10871.33,-11674.88
2017-05-23 02:21:00,2017-05-23 13:33:00,2962.208691340748,2973.628154298885,BU,7765.23,6957.96
2017-05-23 14:41:00,2017-05-23 17:35:00,2973.628154298885,2939.369765424474,BU,23295.7,22491.54
2017-05-24 13:11:00,2017-05-24 13:30:00,2891.408021000298,2870.8529876756515,BU,-14388.52,-15195.24
2017-05-26 01:01:00,2017-05-26 02:58:00,2934.801980241219,2882.2724506337886,BU,20486.52,19687.54
2017-05-26 17:41:00,2017-05-31 14:14:00,2811.471780293339,2790.916746968692,BU,-14799.62,-15606.37
2017-06-01 13:01:00,2017-06-02 13:15:00,2681.289902570577,2649.315406287793,BU,-30832.55,-31633.51
2017-06-02 13:41:00,2017-06-02 18:59:00,2667.5865470208123,2642.4637285129106,BU,-17129.19,-17926.04
2017-06-05 18:11:00,2017-06-06 01:02:00,2679.0060099789494,2656.1670840626757,BU,17129.19,16328.23
2017-06-06 02:11:00,2017-06-06 13:05:00,2660.73486924593,2683.573795162204,BU,13886.07,13073.73
2017-06-08 15:01:00,2017-06-08 17:33:00,2674.4382247956946,2694.993258120341,BU,15416.27,14610.86
2017-06-09 13:11:00,2017-06-09 15:27:00,2683.573795162204,2672.154332204067,BU,8564.6,7761.24
2017-06-12 01:31:00,2017-06-13 01:03:00,2674.4382247956946,2690.4254729370864,BU,11990.44,11185.71
2017-06-13 02:21:00,2017-06-13 13:01:00,2683.573795162204,2672.154332204067,BU,6851.68,6047.98
2017-06-13 17:31:00,2017-06-13 18:49:00,2667.5865470208123,2640.1798359212835,BU,-18842.11,-19637.94
