entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-05 14:51:00,2017-01-06 17:14:00,3366.073544761242,3359.0765728877814,IC,-3943.75,-4750.64
2017-01-09 18:01:00,2017-01-09 18:50:00,3369.253986521905,3378.689297078542,IC,5343.14,4533.3
2017-01-11 14:01:00,2017-01-11 15:25:00,3378.26523817712,3358.1224403595825,IC,12022.07,11213.67
2017-01-12 13:51:00,2017-01-12 14:41:00,3348.793144528302,3336.3894216617127,IC,7505.84,6703.66
2017-01-18 15:11:00,2017-01-18 17:25:00,3215.426620031132,3233.343108616205,IC,13569.88,12537.9
2017-01-19 14:21:00,2017-01-20 14:01:00,3217.864958714308,3241.819812628709,IC,-19769.34,-20803.31
2017-01-20 18:31:00,2017-01-23 13:33:00,3253.6895183683114,3264.810684106317,IC,9324.67,8281.62
2017-01-24 14:51:00,2017-01-24 15:20:00,3264.169078390664,3271.0128726909747,IC,-5560.58,-6606.26
2017-01-25 17:11:00,2017-01-26 13:32:00,3282.347907000865,3294.75228417018,IC,8982.48,7930.33
2017-01-26 14:51:00,2017-02-03 13:38:00,3297.4256413187386,3287.159949868272,IC,-8383.65,-9437.18
2017-02-03 17:11:00,2017-02-06 13:34:00,3287.8015555839256,3302.6654213299144,IC,-11976.64,-13031.1
2017-02-06 14:01:00,2017-02-06 15:18:00,3291.0095841621965,3313.1449813522663,IC,17708.32,16651.69
2017-02-06 18:11:00,2017-02-07 14:12:00,3304.26943561905,3317.529287075903,IC,10607.88,9548.39
2017-02-09 17:41:00,2017-02-10 17:29:00,3359.768330023137,3366.291321465621,IC,4427.08,3619.82
2017-02-10 18:21:00,2017-02-13 13:35:00,3365.0081100343127,3372.6004443362203,IC,4747.88,3939.41
2017-02-13 18:31:00,2017-02-14 18:24:00,3385.432558649304,3389.7099300869986,IC,2887.23,2074.27
2017-02-15 15:21:00,2017-02-15 18:24:00,3380.774940314452,3367.672420607266,IC,7861.51,7051.67
2017-02-16 14:01:00,2017-02-16 14:37:00,3368.2138470414475,3375.7938171199844,IC,-5002.78,-5812.2
2017-02-17 14:31:00,2017-02-17 17:04:00,3390.412330842878,3369.838126343991,IC,-11369.96,-12181.25
2017-02-20 13:41:00,2017-02-20 14:19:00,3371.3541203596988,3396.151451045199,IC,-15398.17,-16210.24
2017-02-20 17:41:00,2017-02-20 18:23:00,3389.979189695533,3403.4065652632275,IC,8316.31,7501.13
2017-02-27 13:41:00,2017-02-27 15:02:00,3459.6066291312395,3463.9380406046894,IC,2533.88,1703.06
2017-02-28 13:41:00,2017-03-01 14:32:00,3446.720679997726,3465.9954610545783,IC,-11954.7,-12784.3
2017-03-01 18:01:00,2017-03-02 14:01:00,3474.00857228046,3458.523776262877,IC,-9290.88,-10122.73
2017-03-02 17:01:00,2017-03-03 13:39:00,3465.4540346203967,3446.179253563545,IC,10980.13,10150.56
2017-03-06 17:41:00,2017-03-08 17:36:00,3497.289908950253,3486.894521413973,IC,-6367.17,-7205.25
2017-03-09 13:31:00,2017-03-09 13:38:00,3491.983929895277,3478.4482690407463,IC,3573.41,2737.82
2017-03-09 17:01:00,2017-03-13 13:44:00,3465.4540346203967,3447.262106431908,IC,10850.19,10020.67
2017-03-13 14:11:00,2017-03-13 15:23:00,3475.9577074435124,3499.6721852606506,IC,-14488.57,-15325.7
2017-03-14 14:51:00,2017-03-14 18:11:00,3511.691852099474,3502.379317431557,IC,-5847.41,-6689.12
2017-03-17 15:01:00,2017-03-17 18:53:00,3544.3276623518746,3502.4082140400824,IC,-25086.0,-25931.46
2017-03-20 14:41:00,2017-03-20 17:39:00,3517.731249976508,3494.199444788426,IC,13331.04,12489.45
2017-03-21 17:41:00,2017-03-21 19:00:00,3515.5422448427325,3525.611668458097,IC,6632.69,5787.89
2017-03-22 13:41:00,2017-03-22 14:53:00,3513.2437894522686,3500.438109419684,IC,-7683.41,-8525.0
2017-03-22 17:31:00,2017-03-23 13:38:00,3507.333475591076,3528.4573751320054,IC,-12740.01,-13584.32
2017-03-23 17:11:00,2017-03-23 17:21:00,3532.1786838594226,3516.63674740962,IC,-9259.49,-10105.31
2017-03-23 18:21:00,2017-03-24 14:33:00,3517.183998693064,3549.6907249296232,IC,-19635.38,-20483.4
2017-03-27 14:01:00,2017-03-27 15:03:00,3555.053787507372,3542.795358758232,IC,-6764.03,-7615.62
2017-03-27 18:41:00,2017-03-28 14:13:00,3550.019075699689,3540.387453111079,IC,6041.65,5190.67
2017-03-29 15:11:00,2017-03-30 14:54:00,3540.8252541378342,3506.567323794255,IC,21145.79,20300.12
2017-03-30 17:51:00,2017-04-05 13:33:00,3502.7365648101486,3524.736066404588,IC,-14578.77,-15422.35
2017-04-06 14:11:00,2017-04-07 17:32:00,3572.456378320884,3588.54556605413,IC,9981.86,9122.61
2017-04-07 18:51:00,2017-04-11 13:38:00,3583.0730532196926,3598.7244399261845,IC,9587.84,8726.04
2017-04-11 13:41:00,2017-04-11 15:25:00,3600.585094289893,3576.28713730499,IC,14119.08,13257.87
2017-04-13 13:51:00,2017-04-13 14:58:00,3602.007947626847,3617.9876851034046,IC,-9456.5,-10322.93
2017-04-13 15:21:00,2017-04-14 13:56:00,3610.654517905258,3591.062921957972,IC,-12017.64,-12881.79
2017-04-18 13:41:00,2017-04-18 18:45:00,3536.118893100218,3515.323344329355,IC,13002.69,12156.39
2017-04-19 17:01:00,2017-04-20 15:02:00,3467.165231386304,3477.672456028424,IC,-5516.29,-6349.57
2017-04-24 18:01:00,2017-04-24 18:59:00,3391.0709053654323,3365.9755057606635,IC,14727.04,13916.23
2017-04-27 15:21:00,2017-05-03 13:48:00,3360.91239882286,3413.744819043425,IC,-31303.21,-32116.3
2017-05-04 14:21:00,2017-05-04 15:24:00,3390.9608378233065,3407.3609016001064,IC,-9377.75,-10193.46
2017-05-04 17:41:00,2017-05-04 18:35:00,3404.499145504826,3379.513813442184,IC,-14661.0,-15475.38
2017-05-05 17:01:00,2017-05-05 18:14:00,3377.0923275154078,3348.584834104728,IC,16840.33,16033.25
2017-05-10 14:51:00,2017-05-10 17:10:00,3298.0638322688114,3285.5161324664277,IC,-10830.65,-11883.86
2017-05-11 17:51:00,2017-05-12 18:22:00,3185.3546691316046,3207.5883126410927,IC,-16466.1,-17489.24
2017-05-15 18:51:00,2017-05-16 13:36:00,3235.985738509647,3211.440676615509,IC,-19636.05,-20667.64
2017-05-17 17:31:00,2017-05-18 13:32:00,3314.6173191734188,3295.349507275641,IC,-16122.95,-17180.65
2017-05-18 15:01:00,2017-05-18 17:09:00,3315.3924610313748,3301.6613766904297,IC,10541.93,9483.25
2017-05-19 18:21:00,2017-05-22 13:39:00,3282.282830241516,3259.1393090539555,IC,18603.4,17556.58
2017-05-23 14:11:00,2017-05-23 15:23:00,3238.764151644812,3218.167525133394,IC,16300.13,15267.05
2017-05-26 14:51:00,2017-05-31 13:32:00,3223.482783587953,3279.403731911963,IC,44736.76,43696.33
2017-06-01 14:31:00,2017-06-01 17:03:00,3203.993502587902,3182.068061462845,IC,19223.52,18201.73
2017-06-05 15:21:00,2017-06-06 14:47:00,3200.5607315026664,3228.022900184556,IC,22058.32,21029.77
2017-06-08 14:41:00,2017-06-08 17:59:00,3292.5811434972247,3284.386786713112,IC,-6201.13,-7253.52
2017-06-08 18:51:00,2017-06-09 14:07:00,3287.8195577983483,3273.53480070172,IC,11782.16,10732.3
2017-06-13 13:41:00,2017-06-13 15:20:00,3280.9540156278763,3305.426351429076,IC,-19134.93,-20188.8
2017-06-13 18:51:00,2017-06-15 13:38:00,3296.789056440417,3315.724664684785,IC,15414.25,14356.19
2017-06-15 18:31:00,2017-06-19 13:42:00,3328.12693441209,3339.516232345112,IC,9465.13,8398.42
