entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2023-07-26 14:11:00,2023-08-01 13:13:00,264734.65655625646,261583.7355195557,LC,25665.68,24823.67
2023-08-01 18:11:00,2023-08-02 18:03:00,261469.1565727666,262500.36709386867,LC,9166.32,8328.15
2023-08-03 18:41:00,2023-08-07 13:39:00,262901.39340763056,258318.23553606588,LC,-37581.89,-38415.66
2023-08-09 14:41:00,2023-08-10 14:36:00,249667.52505348748,245714.55138926287,LC,-36092.37,-36984.16
2023-08-11 18:31:00,2023-08-14 13:03:00,238897.1040553104,234371.23565714023,LC,-41248.42,-42100.2
2023-08-15 15:21:00,2023-08-16 14:49:00,224632.02518006528,229157.8935782354,LC,39701.61,38884.99
2023-08-16 15:21:00,2023-08-17 13:23:00,226293.4199085075,222913.3409782285,LC,30936.32,30127.64
2023-08-18 14:41:00,2023-08-21 13:02:00,224746.6041268544,226064.26201492923,LC,-11858.92,-12670.59
2023-08-22 14:11:00,2023-08-22 15:18:00,231105.73567365043,227782.946216766,LC,28873.89,28047.89
2023-08-24 13:51:00,2023-08-25 17:56:00,228470.41989750072,225777.81464795643,LC,24233.45,23415.59
2023-08-31 18:31:00,2023-09-01 13:11:00,210710.68314518748,216783.3673250107,LC,59581.05,58726.06
2023-09-04 18:01:00,2023-09-05 14:48:00,217184.39363877263,221251.9462497863,LC,-41248.42,-42125.64
2023-09-05 15:11:00,2023-09-07 13:03:00,218845.7883672148,215637.57785711956,LC,32655.0,31785.92
2023-09-11 14:01:00,2023-09-12 17:47:00,203205.76213050025,205841.07790665,LC,27498.95,26680.85
2023-09-13 18:21:00,2023-09-14 13:05:00,201888.1042424254,199768.39372682676,LC,-21197.11,-22000.42
2023-09-20 14:41:00,2023-09-20 17:54:00,181435.76224056788,177081.7622625814,LC,-50873.05,-51733.49
2023-09-22 14:01:00,2023-09-22 18:45:00,181149.3148735951,177597.36752313245,LC,43310.84,42449.71
2023-09-27 14:11:00,2023-10-09 13:03:00,170436.1833488126,172613.18333780582,LC,24749.05,23925.73
2023-10-09 13:51:00,2023-10-09 15:00:00,171639.26229009833,173357.9464919351,LC,-20624.21,-21451.93
2023-10-13 17:31:00,2023-10-16 13:02:00,192435.3411323232,197476.8147910444,LC,-54826.03,-55683.71
2023-10-19 14:11:00,2023-10-19 18:39:00,189914.6043029626,184815.8411708469,LC,-55456.21,-56280.74
2023-10-20 15:01:00,2023-10-20 17:41:00,182867.99907543187,177769.23594331613,LC,-55456.21,-56249.49
2023-10-24 17:41:00,2023-10-24 18:50:00,174962.05174698273,176909.89384239775,LC,-23374.11,-24218.6
2023-10-26 18:31:00,2023-10-27 14:49:00,171696.5517634929,175076.63069377185,LC,39873.47,39041.36
2023-10-27 18:41:00,2023-10-30 13:02:00,175305.7885873501,176165.1306882685,LC,-8249.68,-9093.08
2023-11-01 13:01:00,2023-11-02 18:47:00,176165.1306882685,174503.73595982627,LC,15124.42,14283.5
2023-11-03 13:11:00,2023-11-03 18:23:00,176050.55174147937,173816.26227909158,LC,-27498.95,-28338.49
2023-11-08 13:51:00,2023-11-09 13:58:00,163561.44654146553,166655.0781047717,LC,40217.21,39358.65
2023-11-09 18:31:00,2023-11-10 13:19:00,165394.7096900914,167285.26231211185,LC,24577.18,23712.22
2023-11-10 17:31:00,2023-11-13 13:02:00,169462.2623011051,172956.92017817317,LC,-42623.37,-43445.04
2023-11-14 17:31:00,2023-11-16 14:35:00,164993.68337632949,161441.73602586685,LC,-43941.03,-44789.61
2023-11-16 18:31:00,2023-11-17 13:02:00,162071.920233207,159322.02551026817,LC,-38727.68,-39563.01
