entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2019-08-14 13:51:00,2019-08-16 15:08:00,964.3885626495596,966.6055478510528,UR,-5764.16,-6567.22
2019-08-21 17:31:00,2019-08-26 13:41:00,953.8578829424667,961.0630848473196,UR,15130.92,14326.66
2019-08-27 13:01:00,2019-08-27 13:19:00,962.1715774480664,970.485271953666,UR,-19598.15,-20401.67
2019-08-28 13:41:00,2019-08-28 17:52:00,966.0513015506796,970.485271953666,UR,8069.83,7264.46
2019-08-29 17:51:00,2019-09-02 13:03:00,989.883892466732,1007.0655277783044,UR,-33919.87,-34734.86
2019-09-02 18:01:00,2019-09-03 13:15:00,998.7518332727047,993.2093702689716,UR,10076.2,9271.22
2019-09-04 15:01:00,2019-09-09 13:02:00,1008.1740203790512,1015.9334685842774,UR,-14410.4,-15220.27
2019-09-09 18:11:00,2019-09-10 13:05:00,1009.836759280171,1015.379222283904,UR,-9976.43,-10786.3
2019-09-10 18:41:00,2019-09-16 13:05:00,1005.4027888771844,997.0890943715848,UR,-14410.4,-15211.84
2019-09-17 14:01:00,2019-09-18 13:03:00,990.9923850674784,985.4499220637454,UR,-8956.62,-9755.1
2019-09-23 13:11:00,2019-09-24 14:08:00,976.5819812577724,982.1244442615056,UR,10275.73,9468.51
2019-09-26 13:11:00,2019-09-26 13:32:00,976.5819812577724,968.822533052546,UR,-15984.46,-16785.97
2019-09-27 17:31:00,2019-09-30 13:03:00,971.5937645544128,972.7022571551591,UR,3425.24,2624.42
2019-09-30 15:21:00,2019-10-08 13:02:00,974.3649960562792,968.822533052546,UR,10275.73,9474.9
2019-10-08 15:21:00,2019-10-09 13:32:00,971.5937645544128,977.1362275581456,UR,10275.73,9472.62
2019-10-10 13:01:00,2019-10-10 13:11:00,980.4617053603856,983.232936862252,UR,-5653.31,-6454.5
2019-10-11 18:01:00,2019-10-14 13:18:00,971.5937645544128,966.6055478510528,UR,-10275.73,-11074.26
2019-10-15 18:41:00,2019-10-16 13:04:00,961.0630848473196,963.2800700488132,UR,4655.67,3847.44
2019-10-18 13:11:00,2019-10-21 13:03:00,953.8578829424667,947.206927337987,UR,-16294.84,-17093.29
2019-10-22 18:01:00,2019-10-29 15:13:00,932.796523528281,936.1220013305208,UR,7183.03,6375.66
2019-10-29 18:31:00,2019-10-30 13:53:00,934.4592624294008,936.1220013305208,UR,-4788.69,-5597.02
2019-10-30 15:11:00,2019-10-30 17:50:00,935.5677550301476,938.338986532014,UR,-4744.35,-5546.62
2019-11-01 14:01:00,2019-11-05 17:38:00,933.9050161290276,937.2304939312676,UR,8380.2,7571.63
2019-11-06 13:31:00,2019-11-06 18:57:00,940.5559717335072,933.9050161290276,UR,15419.13,14616.63
2019-11-07 15:01:00,2019-11-07 17:50:00,935.5677550301476,929.4710457260412,UR,-11860.87,-12659.34
2019-11-13 17:41:00,2019-11-14 18:29:00,913.9521493155884,907.3011937111088,UR,14632.1,13830.75
2019-11-15 13:31:00,2019-11-18 14:52:00,910.0724252129752,899.5417455058823,UR,-23167.5,-23963.73
2019-11-19 17:51:00,2019-11-20 13:02:00,882.3601101943098,886.7940805972962,UR,12636.82,11830.08
2019-11-20 18:11:00,2019-11-22 17:33:00,889.5653120991627,895.6620214032691,UR,-13778.56,-14585.49
2019-11-27 17:31:00,2019-11-29 14:02:00,923.3743364219348,926.6998142241746,UR,-7249.54,-8056.17
2019-12-03 14:41:00,2019-12-04 13:07:00,921.1573512204416,924.4828290226812,UR,6041.28,5236.83
2019-12-04 14:11:00,2019-12-04 18:35:00,923.928582722308,930.0252920264144,UR,-12082.57,-12891.13
2019-12-09 17:51:00,2019-12-10 14:49:00,962.1715774480664,968.2682867521728,UR,-13833.99,-14636.82
2019-12-11 17:51:00,2019-12-12 18:50:00,958.2918533454532,953.3036366420936,UR,-9311.34,-10114.44
2019-12-13 13:21:00,2019-12-13 18:09:00,955.4671391448718,948.9078681667604,UR,-14922.34,-15722.41
2019-12-16 13:51:00,2019-12-16 17:47:00,951.094291826131,943.9884149331772,UR,-17382.07,-18185.12
2019-12-19 13:21:00,2019-12-19 18:51:00,936.8825380402232,941.255385358964,UR,10527.63,9723.55
2019-12-20 15:11:00,2019-12-24 13:02:00,940.7087794441215,936.8825380402232,UR,7018.42,6214.58
2019-12-25 13:11:00,2019-12-27 13:21:00,932.5096907214823,938.5223557847512,UR,12987.36,12179.07
2019-12-27 14:41:00,2019-12-30 13:03:00,938.5223557847512,931.4164788917972,UR,12867.1,12066.77
2019-12-30 14:01:00,2019-12-31 15:02:00,936.8825380402232,940.7087794441215,UR,8188.16,7384.55
2020-01-03 14:41:00,2020-01-06 13:03:00,936.3359321253806,940.1621735292788,UR,8188.16,7385.02
2020-01-06 18:21:00,2020-01-07 13:46:00,943.9884149331772,950.0010799964458,UR,-13905.65,-14708.94
2020-01-10 13:11:00,2020-01-10 18:59:00,952.1875036558162,949.4544740816032,UR,-5794.02,-6600.32
2020-01-14 13:21:00,2020-01-14 13:24:00,964.759439697196,966.399257441724,UR,-3410.82,-4214.18
2020-01-15 13:11:00,2020-01-15 13:18:00,962.0264101229832,958.2001687190848,UR,-7958.58,-8757.4
2020-01-16 18:41:00,2020-01-17 13:56:00,960.3865923784552,957.6535628042424,UR,-6887.23,-7692.58
2020-01-21 13:51:00,2020-01-21 14:10:00,957.1069568893996,953.2807154855014,UR,6887.23,6084.64
2020-01-22 17:31:00,2020-02-03 13:02:00,939.0689616995936,893.1540648528149,UR,-100597.35,-101382.01
2020-02-05 13:11:00,2020-02-05 13:20:00,925.9504197433712,927.590237487899,UR,-3542.01,-4342.26
2020-02-07 13:11:00,2020-02-07 14:33:00,930.323267062112,936.3359321253806,UR,-12987.36,-13794.23
2020-02-11 18:21:00,2020-02-11 19:00:00,945.6282326777048,948.9078681667604,UR,-5794.02,-6597.07
2020-02-13 14:51:00,2020-02-14 13:32:00,945.6282326777048,940.7087794441215,UR,-9270.44,-10070.47
2020-02-17 14:51:00,2020-02-18 13:02:00,952.7341095706588,958.7467746339274,UR,-12626.6,-13429.42
2020-02-20 18:01:00,2020-02-21 13:13:00,954.3739273151866,959.29338054877,UR,9182.98,8379.01
2020-02-21 14:11:00,2020-02-21 15:07:00,957.6535628042424,965.3060456120388,UR,-16070.21,-16877.86
2020-02-25 17:41:00,2020-02-25 18:17:00,983.3440408018446,990.4499176947984,UR,14495.99,13690.68
2020-02-27 17:41:00,2020-02-28 13:02:00,965.8526515268812,951.094291826131,UR,-28423.51,-29221.41
2020-02-28 18:41:00,2020-03-02 13:04:00,957.6535628042424,966.9458633565664,UR,18365.96,17557.4
2020-03-02 18:31:00,2020-03-03 13:02:00,967.492469271409,970.7721047604648,UR,-6821.64,-7627.96
2020-03-03 15:11:00,2020-03-03 18:43:00,967.492469271409,971.3187106753072,UR,-7958.58,-8765.13
2020-03-05 13:41:00,2020-03-06 13:49:00,990.996523609641,999.7422182471228,UR,-17666.3,-18470.56
2020-03-09 13:01:00,2020-03-09 13:02:00,998.6490064174376,986.6236762909002,UR,-27603.6,-28395.27
2020-03-10 13:31:00,2020-03-11 17:42:00,970.7721047604648,960.3865923784552,UR,-21601.87,-22405.23
2020-03-12 14:41:00,2020-03-12 18:37:00,951.6408977409736,943.4418090183344,UR,-17382.07,-18185.58
2020-03-17 15:01:00,2020-03-18 14:35:00,927.590237487899,921.0309665097876,UR,-14168.03,-14966.63
2020-03-19 18:21:00,2020-03-25 17:37:00,901.8997594902968,896.4337003418706,UR,-13348.12,-14146.33
2020-03-26 18:01:00,2020-03-30 13:02:00,904.086183149667,899.7133358309262,UR,10921.19,10120.54
2020-03-31 14:01:00,2020-03-31 18:26:00,889.8744293637593,879.4889169817499,UR,-22235.93,-23035.93
2020-04-02 14:51:00,2020-04-02 18:50:00,887.688005704389,896.9803062567132,UR,21000.6,20193.93
2020-04-03 15:21:00,2020-04-07 13:02:00,893.1540648528149,903.5395772348244,UR,-24487.94,-25292.62
2020-04-09 13:01:00,2020-04-10 14:35:00,915.0183014465192,920.1753793046792,UR,10143.04,9335.31
2020-04-10 17:31:00,2020-04-10 18:18:00,918.4337224353328,916.1115132762044,UR,3796.81,2997.2
2020-04-14 13:51:00,2020-04-15 13:08:00,911.4670949579472,906.8226766396904,UR,-11494.94,-12295.24
2020-04-15 15:21:00,2020-04-16 13:14:00,905.661572060126,901.597706031651,UR,-10310.61,-11113.29
2020-04-20 13:01:00,2020-04-20 14:09:00,898.1143922929582,903.3393629009976,UR,16905.68,16099.15
2020-04-21 13:11:00,2020-04-21 15:12:00,902.1782583214332,894.0505262644833,UR,18043.57,17246.04
2020-04-22 14:01:00,2020-04-23 17:33:00,887.0838987870977,896.9532877133939,UR,22304.82,21498.43
2020-04-24 13:01:00,2020-04-24 18:07:00,895.7921831338297,887.6644510768799,UR,19506.56,18707.31
2020-04-27 13:31:00,2020-04-28 14:31:00,888.245003366662,881.2783758892764,UR,-14432.53,-15232.09
