entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-04 04:51:00,2017-01-04 13:11:00,12060.445677808211,12026.971007013344,AL,4877.74,4058.93
2017-01-05 04:11:00,2017-01-05 13:29:00,12146.523402709305,12117.830827742271,AL,-5523.32,-6324.2
2017-01-05 15:11:00,2017-01-05 18:05:00,12084.356156947404,12065.22777363605,AL,2438.87,1617.62
2017-01-07 04:01:00,2017-01-09 18:02:00,12103.484540258758,12017.406815357668,AL,14633.21,13813.1
2017-01-10 13:11:00,2017-01-10 13:29:00,12089.138252775245,12022.188911185507,AL,-11381.39,-12201.17
2017-01-11 04:31:00,2017-01-11 13:14:00,12414.320769068248,12347.37142747851,AL,-11835.69,-12652.98
2017-01-11 18:31:00,2017-01-11 18:49:00,12404.75657741257,12457.359631518792,AL,-8679.5,-9499.95
2017-01-12 04:41:00,2017-01-12 15:07:00,12466.92382317447,12443.013344035277,AL,-3945.23,-4767.26
2017-01-13 04:01:00,2017-01-13 17:39:00,12816.016818606666,12739.503285361252,AL,-12242.17,-13059.94
2017-01-14 04:00:00,2017-01-16 18:33:00,12811.234722778829,12715.59280622206,AL,16067.84,15250.83
2017-01-16 18:51:00,2017-01-17 14:51:00,12787.324243639636,12916.44083099127,AL,-19893.52,-20715.89
2017-01-17 15:11:00,2017-01-17 15:30:00,12777.76005198396,12667.771847943675,AL,-15302.71,-16117.12
2017-01-17 18:31:00,2017-01-18 04:33:00,12749.06747701693,12682.118135427192,AL,9946.76,9133.11
2017-01-18 13:11:00,2017-01-18 13:57:00,12753.849572844769,12811.234722778829,AL,-9946.76,-10764.69
2017-01-19 13:21:00,2017-01-21 04:01:00,12792.106339467477,13203.366580661568,AL,65801.64,64969.48
2017-01-23 01:11:00,2017-01-23 03:44:00,12835.145201918018,13212.930772317244,AL,60445.69,59612.15
2017-01-23 14:41:00,2017-01-24 15:06:00,13145.981430727508,13088.596280793448,AL,-8894.7,-9707.97
2017-01-25 13:11:00,2017-01-26 02:05:00,13418.560892914293,13327.701072185364,AL,-13628.97,-14431.07
2017-01-26 13:11:00,2017-01-26 13:57:00,13246.405443112111,13174.674005694538,AL,9635.92,8816.87
2017-02-06 13:11:00,2017-02-06 14:32:00,13241.623347284274,13145.981430727508,AL,-14083.27,-14901.44
2017-02-07 01:11:00,2017-02-07 04:42:00,13064.685801654256,13093.378376621287,AL,-3706.12,-4517.17
2017-02-07 18:21:00,2017-02-08 13:22:00,13007.300651720196,13040.775322515066,AL,-5188.57,-5996.06
2017-02-10 01:11:00,2017-02-10 13:17:00,13169.475320756472,13102.914795669614,AL,11053.8,10239.5
2017-02-10 17:41:00,2017-02-10 18:28:00,13126.686411772063,13207.509906520389,AL,-12527.64,-13344.0
2017-02-13 01:11:00,2017-02-13 03:02:00,13178.98396719745,13321.61366381214,AL,22844.52,22023.15
2017-02-15 01:21:00,2017-02-16 02:54:00,13621.136026702992,13744.748430435724,AL,18541.86,17720.6
2017-02-16 14:41:00,2017-02-16 18:18:00,13778.028692979153,13663.9249356874,AL,-17115.56,-17938.82
2017-02-17 02:51:00,2017-02-17 14:47:00,13644.90764280544,13516.54091585222,AL,19255.01,18440.45
2017-02-20 01:21:00,2017-02-20 02:21:00,13354.89392635557,13245.544492284303,AL,15689.27,14891.4
2017-02-20 15:01:00,2017-02-21 01:11:00,13426.208774662917,13554.575501616137,AL,19968.16,19158.59
2017-02-21 17:51:00,2017-02-22 13:04:00,13545.066855175157,13454.734713985852,AL,14262.97,13452.83
2017-02-23 01:21:00,2017-02-23 02:28:00,13307.350694150671,13373.911219237529,AL,-10316.88,-11144.0
2017-02-23 13:11:00,2017-02-23 13:56:00,13350.13960313508,13274.070431607244,AL,-12123.52,-12922.11
2017-02-24 01:11:00,2017-02-24 03:22:00,13217.018552961368,13102.914795669614,AL,16949.16,16133.39
2017-02-27 01:01:00,2017-02-27 01:26:00,13140.949381433533,13074.388856346675,AL,-4421.52,-5233.02
2017-02-28 01:11:00,2017-03-01 03:12:00,13183.73829041794,13302.596370930183,AL,-19896.84,-20717.92
2017-03-01 13:31:00,2017-03-01 15:18:00,13297.842047709692,13421.454451442423,AL,19159.92,18331.33
2017-03-02 18:31:00,2017-03-03 01:10:00,13426.208774662917,13388.174188898996,AL,5705.19,4900.76
2017-03-03 13:31:00,2017-03-03 17:48:00,13264.561785166265,13354.89392635557,AL,-14001.48,-14826.69
2017-03-04 04:01:00,2017-03-06 15:10:00,13240.790169063815,13150.458027874512,AL,-15475.32,-16293.45
2017-03-07 01:51:00,2017-03-08 01:08:00,13116.730865823736,13045.9316707941,AL,10242.28,9431.09
2017-03-08 02:41:00,2017-03-08 03:18:00,13074.251348805954,13022.331939117556,AL,-8779.1,-9587.95
2017-03-08 04:51:00,2017-03-08 13:07:00,13050.65161712941,13121.450812159044,AL,-10242.28,-11053.47
2017-03-08 17:41:00,2017-03-08 18:06:00,13107.290973153118,13045.9316707941,AL,-9510.69,-10321.44
2017-03-09 02:51:00,2017-03-09 18:23:00,12998.73220744101,12937.372905081991,AL,9510.69,8706.67
2017-03-10 01:31:00,2017-03-10 15:22:00,12932.652958746685,13008.172100111628,AL,-11705.47,-12509.63
2017-03-13 02:21:00,2017-03-13 02:53:00,13154.490436506208,13050.65161712941,AL,-15363.43,-16175.64
2017-03-14 01:21:00,2017-03-14 14:00:00,13074.251348805954,12965.692583093847,AL,-16826.61,-17633.85
2017-03-15 01:41:00,2017-03-16 03:32:00,12942.092851417305,13083.691241476572,AL,-22679.34,-23486.29
2017-03-16 14:01:00,2017-03-16 17:36:00,13055.371563464718,13130.890704829662,AL,11705.47,10893.69
2017-03-17 13:21:00,2017-03-17 13:46:00,13126.170758494354,13083.691241476572,AL,6584.33,5772.11
2017-03-20 03:41:00,2017-03-20 13:08:00,13083.691241476572,13050.65161712941,AL,-5852.73,-6663.04
2017-03-20 17:41:00,2017-03-21 01:05:00,13008.172100111628,13064.811456135336,AL,-8047.51,-8855.92
2017-03-21 03:21:00,2017-03-21 14:48:00,13041.211724458792,12951.53274408792,AL,-13900.24,-14706.02
2017-03-21 17:31:00,2017-03-21 17:43:00,12975.132475764463,13003.45215377632,AL,-5121.14,-5926.33
2017-03-22 03:21:00,2017-03-22 03:33:00,13112.010919488426,13045.9316707941,AL,-10242.28,-11053.18
2017-03-22 17:51:00,2017-03-22 18:25:00,13003.45215377632,13064.811456135336,AL,-9510.69,-10318.81
2017-03-23 01:11:00,2017-03-23 17:36:00,12984.572368435083,13116.730865823736,AL,20484.57,19675.43
2017-03-24 01:01:00,2017-03-24 01:17:00,13060.091509800028,12975.132475764463,AL,-10242.28,-11048.79
2017-03-24 13:11:00,2017-03-24 14:02:00,13012.892046446936,12956.252690423227,AL,-7315.92,-8120.96
2017-03-24 17:31:00,2017-03-24 18:19:00,12975.132475764463,12998.73220744101,AL,-4389.55,-5194.59
2017-03-27 18:01:00,2017-03-29 02:55:00,12890.173441728904,12932.652958746685,AL,-6796.72,-7623.05
2017-03-29 13:21:00,2017-03-30 03:14:00,13041.211724458792,13083.691241476572,AL,5852.73,5042.72
2017-03-30 17:51:00,2017-03-31 01:05:00,13041.211724458792,13078.971295141264,AL,-5852.73,-6662.17
2017-03-31 04:01:00,2017-04-05 13:27:00,13097.8510804825,13215.849738865223,AL,19021.38,18205.81
2017-04-06 04:51:00,2017-04-06 13:24:00,13319.688558242022,13253.609309547695,AL,10973.88,10149.96
2017-04-07 13:11:00,2017-04-08 04:01:00,13230.009577871151,13324.408504577332,AL,-16095.02,-16918.2
2017-04-10 13:11:00,2017-04-10 13:29:00,13272.489094888932,13381.04786060104,AL,16095.02,15268.61
2017-04-11 02:01:00,2017-04-11 02:32:00,13230.009577871151,13182.81011451806,AL,6584.33,5765.67
2017-04-13 04:21:00,2017-04-13 14:51:00,13060.304363500189,13125.886953560805,AL,-10165.3,-10977.07
2017-04-14 03:11:00,2017-04-14 15:14:00,13219.576367933116,13303.896840868196,AL,12343.58,11521.21
2017-04-15 04:00:00,2017-04-17 01:14:00,13327.319194461274,13388.217313803276,AL,6534.84,5705.78
2017-04-19 04:51:00,2017-04-19 13:37:00,13322.634723742658,13439.746491708049,AL,-17426.23,-18255.72
2017-04-20 04:41:00,2017-04-20 13:14:00,13280.474487275118,13346.057077335736,AL,-9439.21,-10264.49
2017-04-21 13:51:00,2017-04-22 04:01:00,13449.115433145278,13332.00366517989,AL,-17566.77,-18369.92
2017-04-24 03:11:00,2017-04-24 13:02:00,13327.319194461274,13392.901784521891,AL,-9439.21,-10267.39
2017-04-24 18:31:00,2017-04-25 01:23:00,13392.901784521891,13327.319194461274,AL,-9134.72,-9936.18
2017-04-25 02:21:00,2017-04-25 13:59:00,13360.110489491582,13430.377550270816,AL,-11242.73,-12046.3
2017-04-26 03:31:00,2017-04-26 17:51:00,13500.64461105005,13566.227201110669,AL,9837.39,9025.38
2017-04-27 01:51:00,2017-04-27 13:36:00,13505.329081768665,13444.430962426664,AL,9837.39,9028.76
2017-04-27 14:41:00,2017-04-28 01:24:00,13467.85331601974,13416.32413811497,AL,8432.05,7625.38
2017-04-28 04:41:00,2017-04-28 13:23:00,13327.319194461274,13406.955196677738,AL,-11617.49,-12446.4
2017-05-03 02:31:00,2017-05-04 01:03:00,13079.042246374647,13013.459656314031,AL,10165.3,9356.43
2017-05-04 14:41:00,2017-05-04 18:34:00,13022.828597751262,12952.561536972027,AL,9439.21,8633.97
2017-05-05 13:11:00,2017-05-05 13:27:00,13004.0907148768,13074.357775656032,AL,10165.3,9356.72
2017-05-08 02:41:00,2017-05-08 13:17:00,13069.673304937418,12985.352832002338,AL,13069.67,12261.97
