entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-04 14:41:00,2017-01-05 13:05:00,20352.743499560536,20676.016725231915,CF,-31653.84,-32474.28
2017-01-05 14:01:00,2017-01-06 01:19:00,20494.175535791765,20709.69101957268,CF,20878.06,20053.85
2017-01-06 02:11:00,2017-01-06 17:33:00,20635.607572022996,20473.970959187303,CF,-16163.66,-16985.85
2017-01-09 02:01:00,2017-01-09 13:05:00,20453.76638258284,20568.258983341453,CF,-11449.26,-12269.7
2017-01-09 15:11:00,2017-01-09 17:48:00,20588.463559945914,20649.077289759294,CF,6061.37,5236.62
2017-01-11 02:31:00,2017-01-11 17:43:00,20777.03960825422,20601.933277682223,CF,-16163.66,-16991.24
2017-01-12 17:51:00,2017-01-12 17:56:00,20662.547007495607,20736.6304550453,CF,-7408.34,-8236.33
2017-01-13 18:51:00,2017-01-16 03:26:00,20319.069205219766,20440.296664846534,CF,-13469.72,-14284.91
2017-01-16 14:51:00,2017-01-17 02:35:00,20413.35722937392,20325.804064087923,CF,-8755.32,-9570.1
2017-01-17 14:41:00,2017-01-18 01:09:00,20433.56180597838,20568.258983341453,CF,-12122.75,-12942.78
2017-01-18 18:31:00,2017-01-19 01:03:00,20251.72061653823,20413.35722937392,CF,-16163.66,-16976.96
2017-01-20 02:51:00,2017-01-23 01:06:00,20595.19841881407,20460.501241450995,CF,-11449.26,-12270.51
2017-01-23 01:41:00,2017-01-23 02:04:00,20534.584689000687,20662.547007495607,CF,-12122.75,-12946.55
2017-01-24 03:01:00,2017-01-24 13:08:00,21039.699104112216,21181.131140343445,CF,14816.69,13972.41
2017-01-25 13:41:00,2017-02-03 13:02:00,21080.10825732114,21416.851200728823,CF,-32630.39,-33437.71
2017-02-03 15:11:00,2017-02-03 18:32:00,21356.23747091544,21504.40436601482,CF,14075.86,13261.5
2017-02-07 14:41:00,2017-02-07 15:07:00,21443.79063620144,21396.64662412436,CF,3838.87,3025.03
2017-02-08 03:21:00,2017-02-08 13:03:00,21504.40436601482,21443.79063620144,CF,-5118.49,-5934.64
2017-02-08 17:41:00,2017-02-09 02:22:00,21362.972329783595,21450.525495069596,CF,-8957.36,-9770.69
2017-02-09 02:41:00,2017-02-09 13:13:00,21416.851200728823,21463.995212805898,CF,4478.68,3663.95
2017-02-10 14:41:00,2017-02-10 15:28:00,21463.995212805898,21261.94944676129,CF,-19194.35,-20006.4
2017-02-13 15:11:00,2017-02-13 18:01:00,21645.83640224605,21517.87408375113,CF,-12796.23,-13616.47
2017-02-14 18:31:00,2017-02-15 01:53:00,21511.139224882976,21329.298035442825,CF,16635.1,15821.26
2017-02-15 02:51:00,2017-02-15 14:31:00,21416.851200728823,21336.032894310974,CF,7037.93,6225.49
2017-02-16 13:11:00,2017-02-17 01:02:00,21228.27515242052,21133.987128266366,CF,9597.17,8792.67
2017-02-20 13:31:00,2017-02-20 15:11:00,20878.062491276527,20972.35051543068,CF,-8755.32,-9592.46
2017-02-21 15:21:00,2017-02-22 02:38:00,21194.60085807975,21059.90368071668,CF,-12156.42,-12959.13
2017-02-22 17:31:00,2017-02-23 01:02:00,20884.79735014468,20898.267067880988,CF,-673.49,-1509.28
