entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-04 13:11:00,2017-01-04 13:47:00,44622.80640648418,44416.03700345325,CU,8861.55,8060.28
2017-01-05 13:11:00,2017-01-05 13:58:00,45233.26845352788,45056.03753664422,CU,-7975.39,-8788.0
2017-01-06 02:41:00,2017-01-06 04:09:00,44918.191267956936,44642.49873058236,CU,11963.09,11156.95
2017-01-09 03:01:00,2017-01-09 13:03:00,44603.114082386,44859.11429566238,CU,-10633.86,-11439.19
2017-01-09 18:11:00,2017-01-09 18:17:00,44898.49894385875,44790.19116131874,CU,-5316.93,-6124.21
2017-01-11 04:11:00,2017-01-11 18:22:00,46208.03849638796,46434.50022351708,CU,10190.78,9356.99
2017-01-12 01:11:00,2017-01-12 04:58:00,46286.807792780695,46050.4999036025,CU,-11076.93,-11907.7
2017-01-12 18:11:00,2017-01-13 01:02:00,46217.884658437055,46621.57730244982,CU,-17280.01,-18115.39
2017-01-13 04:01:00,2017-01-13 17:47:00,46798.80821933347,46532.961844008,CU,-11520.01,-12359.91
2017-01-14 04:00:00,2017-01-14 04:01:00,46670.80811269528,47389.577942278986,CU,0.0,-853.01
2017-01-17 03:21:00,2017-01-17 13:03:00,47172.962377198965,46936.65448802076,CU,10633.86,9786.87
2017-01-18 14:01:00,2017-01-19 03:22:00,45735.42271803156,46001.26909335704,CU,-11520.01,-12345.55
2017-01-19 18:11:00,2017-01-20 01:02:00,45981.57676925885,45853.57666262066,CU,-5316.93,-6143.53
2017-01-20 01:51:00,2017-01-20 17:40:00,45853.57666262066,45577.88412524608,CU,11963.09,11140.12
2017-01-21 04:01:00,2017-01-24 02:31:00,46148.96152409341,45804.3458523752,CU,15507.71,14680.13
2017-01-24 03:01:00,2017-01-24 13:40:00,46001.26909335704,46267.11546868252,CU,-11520.01,-12350.51
2017-01-24 15:01:00,2017-01-25 01:02:00,46257.26930663343,46779.11589523529,CU,23040.02,22202.78
2017-01-25 14:41:00,2017-01-26 03:17:00,46818.500543431655,47153.27005310078,CU,14621.55,13775.72
2017-01-26 04:01:00,2017-01-26 17:58:00,46985.88529826622,47192.65470129715,CU,8861.55,8014.03
2017-02-03 13:11:00,2017-02-04 04:01:00,46532.961844008,45873.26898671884,CU,-29686.18,-30517.66
2017-02-07 13:11:00,2017-02-07 18:17:00,46060.34606565159,46286.807792780695,CU,10190.78,9359.65
2017-02-08 13:11:00,2017-02-08 13:19:00,46158.80768614251,46286.807792780695,CU,-5316.93,-6149.03
2017-02-09 02:41:00,2017-02-09 18:06:00,46838.19286752984,46513.26951990981,CU,-15064.63,-15904.7
2017-02-09 18:41:00,2017-02-10 01:34:00,46720.03892294074,46484.47585795621,CU,10157.26,9318.51
2017-02-10 15:11:00,2017-02-10 17:41:00,46464.85801627739,46641.41859138674,CU,-8386.63,-9224.67
2017-02-13 01:11:00,2017-02-13 03:00:00,46974.92189992662,48613.01168010782,CU,74155.44,73295.24
2017-02-13 17:31:00,2017-02-14 04:52:00,48877.85254277184,48769.95441353836,CU,-7062.42,-7941.87
2017-02-14 13:11:00,2017-02-15 01:17:00,49024.98635536297,48583.58491758959,CU,19863.06,18984.59
2017-02-15 01:21:00,2017-02-15 03:40:00,48593.393838429,47946.00506302805,CU,-29573.9,-30442.66
2017-02-15 13:11:00,2017-02-16 13:02:00,48004.8585880645,48171.61024233444,CU,-7062.42,-7927.92
2017-02-17 03:51:00,2017-02-20 01:33:00,47720.39988372166,47269.18952510887,CU,21187.27,20332.36
2017-02-20 03:01:00,2017-02-20 13:03:00,47298.6162876271,47573.26607113053,CU,-11917.84,-12771.6
2017-02-20 15:01:00,2017-02-20 17:46:00,47553.64822945171,47818.48909211574,CU,11917.84,11059.31
2017-02-22 04:41:00,2017-02-22 13:07:00,48034.28535058272,47936.19614218864,CU,-4414.01,-5277.93
2017-02-23 01:31:00,2017-02-23 14:42:00,47838.10693379456,47671.35527952461,CU,6621.02,5761.44
2017-02-24 01:11:00,2017-02-24 03:17:00,47622.31067532757,47269.18952510887,CU,16331.85,15477.74
2017-02-27 01:11:00,2017-02-27 03:38:00,46847.40592901431,47249.571683430055,CU,18980.26,18133.39
2017-02-28 01:11:00,2017-02-28 02:28:00,47033.775424963074,46719.889958102,CU,13683.44,12839.57
2017-03-01 01:11:00,2017-03-01 03:04:00,46876.83269153254,47180.9092375542,CU,-12359.24,-13205.85
2017-03-01 13:11:00,2017-03-01 14:51:00,47298.6162876271,47484.98578357586,CU,8386.63,7533.57
2017-03-03 13:31:00,2017-03-03 18:30:00,47102.43787083893,47347.66089182414,CU,-10593.63,-11443.77
2017-03-04 04:11:00,2017-03-06 01:26:00,47249.571683430055,47475.17686273645,CU,10152.23,9299.71
2017-03-07 03:01:00,2017-03-08 02:47:00,46680.654274744375,46406.004491240936,CU,12800.64,11962.77
2017-03-08 13:11:00,2017-03-08 17:53:00,46229.44391613159,46425.62233291975,CU,-8386.63,-9220.43
