entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-05 14:51:00,2017-01-06 17:47:00,1982.7055395607315,1978.245781447696,IH,-4940.04,-5890.59
2017-01-09 18:31:00,2017-01-10 14:23:00,1983.2201270353123,1977.3881356567276,IH,-6586.72,-7537.27
2017-01-10 15:01:00,2017-01-11 15:27:00,1983.3916561935064,1975.6728440747904,IH,9674.24,8723.99
2017-01-11 18:31:00,2017-01-12 17:42:00,1978.245781447696,1972.413790069111,IH,7204.22,6256.11
2017-01-13 14:51:00,2017-01-13 15:14:00,1971.5561442781425,1982.877068718925,IH,-12555.93,-13504.87
2017-01-13 18:21:00,2017-01-16 15:02:00,1975.8443732329845,1960.7498073119405,IH,-18113.48,-19058.51
2017-01-16 17:11:00,2017-01-16 17:49:00,1971.3846151199489,1982.7055395607315,IH,-12555.93,-13504.96
2017-01-17 17:11:00,2017-01-17 17:38:00,1992.482701577771,1999.8584553800997,IH,8645.07,7686.78
2017-01-18 18:21:00,2017-01-23 13:36:00,2011.6939672954632,2023.7368129276624,IH,14863.42,13894.92
2017-01-23 15:11:00,2017-01-23 18:09:00,2020.987870826733,2012.0538089987135,IH,-10514.7,-11482.59
2017-01-25 13:41:00,2017-01-25 18:27:00,2014.1155155744104,2023.7368129276624,IH,11545.56,10576.47
2017-01-26 17:31:00,2017-02-03 13:47:00,2032.155448111757,2026.313946147283,IH,-7834.48,-8808.35
2017-02-06 13:41:00,2017-02-06 18:15:00,2018.067119844496,2006.727733678164,IH,13813.43,12847.44
2017-02-07 13:31:00,2017-02-07 17:02:00,2011.710191236098,2004.322409339851,IH,8865.34,7901.49
2017-02-08 13:31:00,2017-02-08 14:00:00,2004.8378359837757,1999.168142900609,IH,5978.95,5018.48
2017-02-09 17:31:00,2017-02-10 17:16:00,2020.1288264201928,2031.8118303491408,IH,14431.95,13459.56
2017-02-14 17:11:00,2017-02-15 13:40:00,2034.56077245007,2039.0339056668404,IH,-4749.25,-5727.03
2017-02-15 15:01:00,2017-02-16 14:38:00,2038.0017447426865,2031.636752377068,IH,-7637.99,-8614.7
2017-02-16 15:11:00,2017-02-17 13:32:00,2035.077288790916,2042.6464689013808,IH,-8463.72,-9442.25
2017-02-17 14:51:00,2017-02-17 18:46:00,2039.3779593082247,2027.5081086804505,IH,-14656.69,-15632.82
2017-02-20 13:41:00,2017-02-20 14:19:00,2032.8409401219144,2045.7429516738437,IH,-15275.98,-16254.88
2017-02-21 14:51:00,2017-02-22 15:11:00,2060.193204612004,2052.279970860154,IH,-8876.58,-9863.45
2017-02-23 14:01:00,2017-02-23 17:55:00,2054.5163195291548,2046.7751125979976,IH,-9495.88,-10480.15
2017-02-23 18:41:00,2017-02-24 14:25:00,2047.63524670146,2042.302415259996,IH,6192.97,5211.26
2017-02-28 13:41:00,2017-02-28 18:37:00,2037.141610639224,2031.636752377068,IH,6812.26,5835.71
2017-03-01 17:41:00,2017-03-02 14:46:00,2038.689852025456,2032.1528328391448,IH,-8670.15,-9647.15
2017-03-03 18:21:00,2017-03-06 15:04:00,2013.0578557422905,2017.874606721677,IH,-5986.53,-6953.92
2017-03-06 17:01:00,2017-03-08 13:54:00,2015.638258052676,2019.4228481079087,IH,4541.51,3573.01
2017-03-09 18:41:00,2017-03-13 13:45:00,2009.1012388663653,1999.983817369669,IH,10734.47,9772.25
2017-03-13 14:11:00,2017-03-13 14:52:00,2006.692863376672,2013.74596302506,IH,-9289.45,-10254.11
2017-03-14 15:01:00,2017-03-15 13:32:00,2022.519330880372,2018.0466335423691,IH,-5367.24,-6337.06
2017-03-16 17:51:00,2017-03-17 18:19:00,2034.9052619702236,2020.420429021406,IH,-16761.25,-17734.65
2017-03-20 18:41:00,2017-03-21 13:59:00,2014.7320172683385,2023.006070727346,IH,-10135.72,-11104.81
2017-03-21 17:41:00,2017-03-21 18:25:00,2020.075676793948,2017.1452828605493,IH,-3516.47,-4485.41
2017-03-22 17:51:00,2017-03-23 13:37:00,2010.4226144251052,2019.55854845276,IH,-11997.38,-12964.86
2017-03-27 15:01:00,2017-03-28 14:18:00,2038.347544849256,2032.8315092099176,IH,-6205.54,-7182.71
2017-03-30 17:51:00,2017-03-31 15:09:00,2020.9375573625944,2026.7983452293915,IH,-7032.95,-8004.4
2017-04-06 14:01:00,2017-04-06 14:31:00,2049.724368355391,2046.9663505357223,IH,-3723.32,-4706.61
2017-04-06 18:51:00,2017-04-07 14:04:00,2054.206147312354,2049.034863900474,IH,-6205.54,-7190.32
2017-04-11 13:51:00,2017-04-11 14:42:00,2049.8967444691207,2041.450314896384,IH,9928.86,8946.9
2017-04-11 18:01:00,2017-04-11 18:50:00,2037.1409120531507,2049.379616127933,IH,-14893.3,-15874.1
2017-04-13 14:21:00,2017-04-14 13:58:00,2043.174076033677,2037.4856642806092,IH,7653.5,6673.98
2017-04-19 18:31:00,2017-04-20 18:30:00,2002.3209370798272,2008.1817249466244,IH,-7239.8,-8202.19
2017-04-24 17:01:00,2017-04-24 18:18:00,2007.137045039756,2012.1518614700267,IH,-5602.76,-6567.39
2017-04-26 13:31:00,2017-04-26 13:34:00,2018.7230002407264,2022.3544190350603,IH,830.04,-140.44
2017-04-27 15:21:00,2017-05-03 17:31:00,2017.5125273092815,2013.535259105964,IH,4980.23,4012.82
2017-05-05 18:21:00,2017-05-09 14:38:00,1992.9572192714045,1998.8366592241357,IH,-6847.82,-7805.89
2017-05-11 17:31:00,2017-05-11 18:22:00,2010.595539129598,2017.6854520137736,IH,7677.86,6710.9
2017-05-15 17:11:00,2017-05-16 14:19:00,2054.6913387750824,2044.8346306190329,IH,-11205.52,-12189.28
2017-05-16 15:21:00,2017-05-16 18:27:00,2047.4285011864145,2055.210112888559,IH,-9337.93,-10322.57
2017-05-18 15:11:00,2017-05-19 18:49:00,2040.6731545765276,2038.9352281972251,IH,2502.61,1523.51
2017-05-22 15:21:00,2017-05-23 13:43:00,2050.9269202144096,2062.571026955734,IH,13972.93,12985.77
2017-05-24 15:11:00,2017-05-25 13:41:00,2074.215133697058,2088.987507921126,IH,-16058.44,-17057.52
2017-05-26 15:11:00,2017-05-31 13:45:00,2140.951506662259,2157.1142219897683,IH,19603.81,18572.32
2017-05-31 14:41:00,2017-06-02 14:24:00,2153.290783955304,2162.3280011276747,IH,10219.01,9183.13
2017-06-02 18:21:00,2017-06-05 13:37:00,2152.4218207656527,2137.475653903655,IH,17726.85,16697.4
2017-06-07 17:51:00,2017-06-08 18:02:00,2148.077004817397,2161.632830575953,IH,16684.09,15649.85
2017-06-09 15:21:00,2017-06-12 14:09:00,2183.7044955930905,2201.431344661972,IH,21480.77,20428.3
2017-06-13 14:41:00,2017-06-14 14:53:00,2170.8438403862547,2159.373526282861,IH,13138.72,12099.43
2017-06-15 13:41:00,2017-06-15 13:50:00,2157.635599903559,2143.732188869142,IH,16266.99,15234.58
2017-06-19 13:51:00,2017-06-20 13:32:00,2149.5729468595077,2166.387010486861,IH,-20807.4,-21843.36
2017-06-20 18:11:00,2017-06-21 13:32:00,2149.0475073711527,2158.3302716654207,IH,-10718.97,-11752.57
2017-06-21 15:11:00,2017-06-22 13:35:00,2156.7539532003566,2170.0650869053447,IH,16183.54,15145.23
2017-06-22 18:31:00,2017-06-23 13:45:00,2194.4104498657844,2175.144335292775,IH,-22909.16,-23957.81
2017-06-26 15:21:00,2017-06-27 18:38:00,2207.0209975862995,2218.580666330105,IH,14291.95,13229.73
2017-06-29 13:51:00,2017-07-03 14:10:00,2213.5014179426757,2199.6648447493326,IH,16814.06,15754.86
2017-07-03 15:21:00,2017-07-04 13:39:00,2199.8399912454506,2190.907519943419,IH,11139.32,10085.54
2017-07-06 14:11:00,2017-07-06 18:12:00,2207.8967300668905,2222.433889244707,IH,17234.42,16171.18
2017-07-07 13:51:00,2017-07-10 15:12:00,2205.094386128999,2218.7558128262235,IH,16603.89,15542.21
2017-07-13 13:41:00,2017-07-14 13:33:00,2253.609965553759,2281.633404932682,IH,-25378.73,-26195.1
2017-07-14 15:01:00,2017-07-14 18:43:00,2269.898589692758,2291.791901707541,IH,19861.61,19040.48
2017-07-18 18:11:00,2017-07-19 14:14:00,2292.142194699778,2310.0071373038413,IH,-15605.55,-16433.85
2017-07-19 17:31:00,2017-07-19 18:58:00,2312.459188249497,2329.448398372969,IH,14817.39,13981.94
2017-07-24 13:51:00,2017-07-25 18:22:00,2330.670472778171,2317.3523557908675,IH,12459.45,11622.96
2017-07-26 13:51:00,2017-07-26 14:33:00,2329.093327345464,2315.2494952139245,IH,12144.02,11307.98
2017-07-26 18:41:00,2017-07-27 14:54:00,2303.333285277916,2295.6227964957925,IH,7254.87,6426.99
2017-07-28 15:11:00,2017-07-31 13:37:00,2307.188529668977,2317.001879028044,IH,8043.44,7211.06
2017-07-31 18:01:00,2017-08-01 13:42:00,2314.373303306865,2326.114274861462,IH,10409.16,9573.9
2017-08-01 17:31:00,2017-08-01 18:53:00,2334.000002024997,2347.142880630889,IH,12459.45,11616.97
2017-08-04 14:31:00,2017-08-04 18:43:00,2323.660937521696,2308.4151983388606,IH,13878.88,13045.14
2017-08-10 14:01:00,2017-08-10 15:14:00,2304.209477184976,2284.758016848255,IH,17664.03,16837.98
2017-08-10 17:51:00,2017-08-11 14:47:00,2284.057063322608,2263.9046494602403,IH,17664.03,16845.49
2017-08-15 13:31:00,2017-08-15 13:35:00,2266.3579868000065,2275.9960977776605,IH,4416.01,3597.59
2017-08-16 15:21:00,2017-08-17 13:38:00,2272.140853386599,2282.821757759109,IH,-10085.85,-10905.71
2017-08-21 14:21:00,2017-08-22 15:23:00,2295.9555128858296,2312.0662525079406,IH,14026.85,13197.38
2017-08-23 18:41:00,2017-08-24 18:38:00,2332.9051439756718,2319.4211553789046,IH,-11820.38,-12657.67
2017-08-25 13:41:00,2017-08-25 14:20:00,2330.628626420373,2348.840766862759,IH,-16233.32,-17075.53
2017-08-28 17:21:00,2017-08-31 14:22:00,2402.776721249826,2390.868783268266,IH,-11032.35,-11895.21
2017-09-04 17:11:00,2017-09-05 13:33:00,2375.8087440562927,2388.417148977945,IH,-10874.75,-11732.22
2017-09-05 17:51:00,2017-09-06 13:43:00,2394.896468173793,2385.440164482555,IH,-8668.28,-9528.64
2017-09-06 17:21:00,2017-09-07 15:02:00,2383.6889971323253,2371.605942415742,IH,10559.54,9703.46
2017-09-08 14:51:00,2017-09-08 15:04:00,2362.324755459526,2369.329424860444,IH,-6146.6,-6998.39
2017-09-11 13:41:00,2017-09-11 13:45:00,2357.5966036139066,2364.601273014824,IH,-7249.83,-8100.02
2017-09-12 14:51:00,2017-09-12 17:32:00,2352.343101563218,2360.048237904228,IH,-6934.62,-7782.92
2017-09-13 13:41:00,2017-09-13 14:18:00,2358.1219538189757,2350.2417007429426,IH,-5831.39,-6678.58
2017-09-15 14:41:00,2017-09-18 13:32:00,2336.9408279438826,2349.5153544824043,IH,-11474.26,-12317.79
2017-09-18 15:01:00,2017-09-19 15:23:00,2352.3096937131872,2339.3858747708173,IH,-11631.44,-12476.01
2017-09-19 17:41:00,2017-09-19 18:35:00,2342.354860203524,2333.9718425111764,IH,8173.44,7331.77
2017-09-21 18:11:00,2017-09-22 15:19:00,2346.721015251622,2335.0197197227194,IH,-11002.71,-11845.27
2017-09-22 17:41:00,2017-09-22 18:53:00,2339.3858747708173,2345.3238456362305,IH,-5029.81,-5873.06
2017-09-25 15:11:00,2017-09-26 14:14:00,2340.608398184285,2344.450614626611,IH,3615.18,2771.77
2017-09-26 17:31:00,2017-09-27 13:34:00,2345.673138040078,2340.608398184285,IH,-3457.99,-4301.75
2017-09-27 17:51:00,2017-09-27 18:34:00,2339.735167174665,2334.321134915024,IH,4872.63,4031.3
2017-09-29 17:41:00,2017-10-09 13:32:00,2344.101322222763,2394.574074578774,IH,44482.39,43629.74
2017-10-10 17:31:00,2017-10-11 13:32:00,2352.135047511263,2362.439173424774,IH,-9430.89,-10279.55
2017-10-11 17:51:00,2017-10-12 18:38:00,2365.9320974632524,2375.18834616522,IH,8487.81,7634.44
2017-10-13 14:21:00,2017-10-16 13:46:00,2372.0447145305893,2381.126317030633,IH,8330.62,7475.08
2017-10-19 14:41:00,2017-10-20 13:44:00,2398.765583424948,2391.799510921412,IH,-6583.14,-7445.38
2017-10-23 13:41:00,2017-10-23 14:13:00,2388.488458775145,2385.0031407264432,IH,2666.27,1807.13
2017-10-24 18:21:00,2017-10-26 13:47:00,2399.815742433425,2408.5290375551785,IH,7998.8,7133.33
2017-10-26 18:21:00,2017-10-27 13:51:00,2421.2504484329397,2431.5321366766084,IH,9724.04,8850.44
2017-10-31 13:31:00,2017-10-31 14:00:00,2440.5939636032326,2429.4409458473874,IH,7841.97,6965.92
2017-11-01 14:41:00,2017-11-01 17:35:00,2446.867536090895,2429.0924140425177,IH,-16311.29,-17188.96
2017-11-02 14:41:00,2017-11-02 18:47:00,2429.9637435546933,2437.631443261836,IH,-6744.09,-7620.29
2017-11-03 18:01:00,2017-11-03 18:49:00,2426.478425505992,2437.979975066706,IH,-10194.56,-11070.19
2017-11-07 18:01:00,2017-11-08 14:48:00,2457.1492243345647,2470.0449011147607,IH,11919.79,11032.96
2017-11-10 18:21:00,2017-11-10 18:44:00,2486.0773641387877,2499.1473068214177,IH,11606.11,10708.86
2017-11-14 17:11:00,2017-11-14 17:31:00,2497.9274455043724,2507.6863360407365,IH,-9096.68,-9997.63
2017-11-15 17:31:00,2017-11-16 15:24:00,2488.8656185777486,2495.090682930229,IH,-5445.16,-6342.37
2017-11-16 17:31:00,2017-11-16 17:48:00,2491.9650908714398,2500.3000030282114,IH,7501.42,6602.75
2017-11-21 18:21:00,2017-11-22 13:35:00,2602.0553889421312,2630.8802934842997,IH,26723.81,25781.66
2017-11-24 17:41:00,2017-11-27 13:46:00,2548.57303593618,2524.0892314756634,IH,21722.86,20809.6
2017-11-27 17:51:00,2017-11-28 17:01:00,2524.4365194821958,2509.5031352013134,IH,16253.08,15347.47
2017-11-28 17:51:00,2017-11-29 13:36:00,2517.8380473580846,2532.9450756422334,IH,-13596.33,-14505.47
2017-11-29 17:51:00,2017-11-29 18:20:00,2498.7372069988164,2519.227199384213,IH,-18284.71,-19187.98
2017-12-01 14:11:00,2017-12-01 15:28:00,2486.4084827669253,2466.613066394593,IH,18284.71,17393.2
2017-12-04 18:21:00,2017-12-05 13:39:00,2484.4983987309984,2494.3961069171646,IH,8439.1,7542.93
2017-12-06 18:41:00,2017-12-07 15:28:00,2494.743394923697,2465.744846378262,IH,26411.25,25518.49
2017-12-11 17:21:00,2017-12-11 18:09:00,2499.952715021679,2511.7605072437723,IH,10158.17,9256.03
2017-12-13 15:21:00,2017-12-13 17:47:00,2476.684418584025,2494.743394923697,IH,-16565.64,-17460.49
2017-12-14 18:31:00,2017-12-15 13:36:00,2481.025518665677,2466.9882267886733,IH,12477.73,11587.06
2017-12-20 13:51:00,2017-12-20 14:50:00,2488.631512046154,2502.8295071750613,IH,12622.36,11724.06
2017-12-21 18:51:00,2017-12-22 18:40:00,2517.720087432208,2504.7341162777197,IH,-11687.37,-12591.35
2017-12-25 13:41:00,2017-12-25 17:47:00,2521.7024519195847,2503.5220923033007,IH,16985.65,16081.17
2017-12-27 13:41:00,2017-12-27 17:09:00,2512.8719915345323,2499.712874097984,IH,-11375.71,-12277.82
2017-12-28 14:11:00,2017-12-28 17:30:00,2474.6066631993067,2493.9990467900093,IH,-17608.98,-18503.29
2017-12-29 18:31:00,2018-01-02 13:32:00,2483.263977302299,2493.30646166177,IH,-9505.73,-10401.61
2018-01-03 17:21:00,2018-01-03 17:46:00,2542.826298330885,2529.147742048158,IH,-11687.37,-12600.39
2018-01-05 18:51:00,2018-01-08 14:55:00,2544.384614869424,2552.522490126237,IH,7324.09,6406.58
2018-01-12 14:41:00,2018-01-12 18:45:00,2603.773789615951,2616.7597607704392,IH,11687.37,10747.68
2018-01-15 17:51:00,2018-01-17 13:32:00,2644.1168733358945,2667.664767696034,IH,20413.95,19457.86
2018-01-17 15:11:00,2018-01-19 13:32:00,2670.7814007731117,2711.7589074458147,IH,37035.59,36066.76
2018-01-19 17:01:00,2018-01-19 18:50:00,2707.10160253512,2689.1623539902203,IH,-16300.57,-17271.93
2018-01-22 13:51:00,2018-01-23 13:33:00,2710.723950798994,2727.2832571481317,IH,-15524.35,-16503.44
2018-01-23 17:41:00,2018-01-23 18:26:00,2732.458040382237,2748.672361182435,IH,14592.89,13606.22
2018-01-25 15:21:00,2018-01-26 17:03:00,2730.9056054120056,2754.0196371910106,IH,-20802.63,-21789.92
2018-01-26 17:31:00,2018-01-26 18:11:00,2745.912476790912,2757.641985454885,IH,10867.04,9876.72
2018-01-31 14:01:00,2018-01-31 18:43:00,2674.5004681602545,2692.0947311562136,IH,-15369.11,-16335.06
2018-02-01 14:51:00,2018-02-02 13:52:00,2693.474673351975,2666.2208149856856,IH,-24373.23,-25337.88
2018-02-05 13:41:00,2018-02-05 17:38:00,2709.171515828762,2729.525663216244,IH,18008.25,17029.47
2018-02-06 13:41:00,2018-02-06 18:23:00,2718.486125650152,2677.260352551777,IH,-36947.95,-37919.16
2018-02-07 13:41:00,2018-02-07 15:06:00,2709.3440086032324,2651.213943606779,IH,49677.92,48712.61
2018-02-08 18:51:00,2018-02-09 13:32:00,2542.198510141621,2483.895952370697,IH,54645.71,53740.89
2018-02-12 17:21:00,2018-02-12 18:28:00,2402.479362820769,2425.7658873742444,IH,21578.85,20709.82
2018-02-23 15:21:00,2018-02-26 13:32:00,2540.337786590823,2579.241680001042,IH,35791.58,34870.09
2018-02-26 14:01:00,2018-02-27 13:46:00,2555.207719183173,2567.656965074443,IH,10893.09,9970.97
2018-02-28 17:31:00,2018-03-01 13:32:00,2500.5693622159324,2464.0861555067936,IH,32834.89,31941.12
2018-03-01 17:11:00,2018-03-01 17:49:00,2500.7422684088665,2488.1201163246624,IH,-11048.71,-11946.64
2018-03-02 15:01:00,2018-03-05 14:40:00,2493.8260206914943,2467.025560786677,IH,24587.26,23694.28
2018-03-05 17:11:00,2018-03-06 13:35:00,2471.3482156100345,2491.7511463762826,IH,-18518.25,-19411.64
2018-03-06 15:21:00,2018-03-06 17:31:00,2467.7171855584143,2483.1058367295677,IH,-13849.79,-14741.0
2018-03-07 17:01:00,2018-03-07 18:18:00,2509.214671862648,2490.8866154116117,IH,-15717.17,-16616.85
2018-03-08 14:31:00,2018-03-08 15:13:00,2490.8866154116117,2503.854579881684,IH,-11671.17,-12570.22
2018-03-09 14:21:00,2018-03-12 13:32:00,2500.396456022998,2531.6924769441075,IH,28788.88,27883.17
2018-03-12 14:11:00,2018-03-13 18:56:00,2508.868859476779,2482.932930536633,IH,-23964.8,-24863.32
2018-03-14 17:51:00,2018-03-14 18:14:00,2480.1664314496843,2488.984647289334,IH,-7936.39,-8830.84
