entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2019-09-27 02:21:00,2019-09-27 02:52:00,10464.316680584156,10444.314800978073,SS,-3250.31,-4065.87
2019-09-27 13:21:00,2019-09-27 13:36:00,10457.64938738213,10400.977395164884,SS,10400.98,9587.36
2019-09-27 14:51:00,2019-09-27 18:23:00,10437.647507776042,10487.65220679126,SS,-10400.98,-11216.93
2019-10-09 04:21:00,2019-10-09 18:46:00,10447.648447579086,10427.646567973,SS,-4550.43,-5364.43
2019-10-10 01:01:00,2019-10-10 01:03:00,10450.9820941801,10467.650327185173,SS,-1950.18,-2766.27
2019-10-11 01:21:00,2019-10-14 01:38:00,10497.653146594304,10540.99055240749,SS,8450.79,7630.29
2019-10-14 02:31:00,2019-10-14 18:58:00,10504.32043979633,10524.322319402418,SS,3900.37,3080.51
2019-10-15 03:31:00,2019-10-15 04:03:00,10534.32325920546,10510.98773299836,SS,-5067.14,-5866.74
2019-10-15 18:11:00,2019-10-16 04:22:00,10317.636230139526,10350.972696149667,SS,-7150.67,-7956.88
2019-10-16 17:41:00,2019-10-16 18:40:00,10344.30540294764,10310.968936937496,SS,6500.61,5694.8
2019-10-17 04:41:00,2019-10-17 13:14:00,10240.962358316194,10264.297884523296,SS,-3333.65,-4153.86
2019-10-18 18:31:00,2019-10-21 15:23:00,10094.281907871562,9844.25841279548,SS,50671.43,49874.29
2019-10-21 18:51:00,2019-10-23 01:02:00,9894.263111810698,9907.597698214757,SS,-3416.99,-4228.73
2019-10-23 02:51:00,2019-10-23 03:09:00,9927.599577820842,9964.269690432,SS,6150.58,5335.01
2019-10-24 03:21:00,2019-10-24 15:19:00,10027.608975851272,10074.280028265475,SS,10000.94,9196.46
2019-10-25 04:51:00,2019-10-25 14:07:00,9990.938863240115,9924.265931219828,SS,12984.55,12167.89
2019-10-29 03:01:00,2019-10-29 14:33:00,10007.607096245189,10030.942622452289,SS,5333.83,4532.16
2019-10-29 17:41:00,2019-10-30 04:52:00,10057.611795260404,10014.274389447217,SS,-8667.48,-9470.36
2019-10-31 01:41:00,2019-10-31 04:59:00,10037.609915654317,10004.273449644174,SS,-6000.56,-6802.11
2019-11-01 02:01:00,2019-11-01 02:44:00,9984.271570038089,9944.267810825912,SS,8200.77,7383.7
2019-11-04 01:11:00,2019-11-05 02:57:00,9980.937923437072,9947.601457426928,SS,-7517.37,-8334.58
2019-11-06 04:11:00,2019-11-07 15:19:00,9940.9341642249,9910.93134481577,SS,4783.78,3970.13
2019-11-07 18:11:00,2019-11-07 18:28:00,9937.600517623883,9954.268750628957,SS,-4100.39,-4916.09
2019-11-08 04:11:00,2019-11-08 13:11:00,9917.598638017798,9930.933224421857,SS,-683.4,-1497.6
2019-11-08 14:11:00,2019-11-08 17:52:00,9907.597698214757,9884.262172007657,SS,5467.18,4655.58
2019-11-12 14:41:00,2019-11-12 18:23:00,9524.2283390981,9594.234917719405,SS,14701.38,13898.41
2019-11-14 01:01:00,2019-11-14 13:23:00,9574.233038113318,9557.564805108244,SS,1400.13,596.74
2019-11-14 14:01:00,2019-11-14 14:33:00,9550.897511906216,9607.56950412346,SS,11201.05,10396.26
2019-11-15 15:01:00,2019-11-15 17:39:00,9514.227399295058,9550.897511906216,SS,-8600.81,-9420.47
2019-11-18 15:21:00,2019-11-19 01:03:00,9504.226459492014,9560.89845170926,SS,-11467.74,-12287.69
2019-11-19 04:21:00,2019-11-20 01:19:00,9580.900331315346,9630.90503033056,SS,9800.92,8994.17
2019-11-20 02:31:00,2019-11-20 13:21:00,9600.902210921431,9640.905970133605,SS,8400.79,7592.63
2019-11-20 18:01:00,2019-11-20 18:39:00,9624.237737128533,9600.902210921431,SS,-6300.59,-7108.33
2019-11-21 03:21:00,2019-11-22 01:14:00,9570.899391512305,9644.23961673462,SS,-16101.51,-16908.69
2019-11-22 13:01:00,2019-11-22 13:33:00,9664.241496340705,9584.23397791636,SS,-15401.45,-16209.88
2019-11-22 14:01:00,2019-11-25 01:22:00,9647.573263335633,9674.242436143748,SS,-7000.66,-7812.17
2019-11-25 15:11:00,2019-11-26 04:23:00,9694.244315749836,9677.576082744765,SS,-3500.33,-4313.95
2019-11-27 04:51:00,2019-11-27 13:41:00,9537.56292550216,9510.893752694044,SS,5600.53,4800.49
2019-11-27 18:21:00,2019-11-28 01:23:00,9500.892812891,9450.888113875784,SS,10034.28,9219.21
2019-11-29 03:01:00,2019-11-29 13:06:00,9387.54882845651,9410.884354663613,SS,-5017.14,-5825.47
2019-11-29 18:01:00,2019-11-29 18:21:00,9377.547888653467,9354.212362446367,SS,5017.14,4211.67
2019-12-03 01:01:00,2019-12-03 01:34:00,9287.53943042608,9327.543189638252,SS,-9534.23,-10353.44
