entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-04 13:11:00,2017-01-04 15:10:00,12997.955907105032,13138.322601566211,ZN,-21273.35,-22083.67
2017-01-05 13:41:00,2017-01-06 01:12:00,13431.533029996226,13294.285595411964,ZN,-21055.0,-21856.69
2017-01-06 01:51:00,2017-01-06 17:46:00,13378.50561208867,13228.781137996748,ZN,21522.89,20724.67
2017-01-07 04:01:00,2017-01-07 04:55:00,13306.762634919623,13397.22117135016,ZN,-13537.59,-14365.51
2017-01-09 02:51:00,2017-01-09 13:02:00,13319.239674427285,13403.45969110399,ZN,-11603.65,-12432.34
2017-01-09 18:01:00,2017-01-09 18:55:00,13490.798967657613,13571.899724457404,ZN,12165.11,11353.05
2017-01-11 14:01:00,2017-01-12 01:21:00,14061.623525133067,13971.16498870253,ZN,12664.2,11851.33
2017-01-12 02:11:00,2017-01-12 15:21:00,14021.073146733172,13899.422011533485,ZN,18091.71,17281.92
2017-01-14 04:00:00,2017-01-14 04:01:00,13977.40350845636,14339.237654178509,ZN,452.29,-379.47
2017-01-16 01:11:00,2017-01-16 03:30:00,14005.476847348596,14376.668772701489,ZN,53822.83,52999.57
2017-01-17 03:31:00,2017-01-17 13:42:00,14089.696864025302,13986.761288087106,ZN,15377.95,14563.64
2017-01-18 04:21:00,2017-01-18 13:53:00,13874.467932518164,14042.907965871576,ZN,24423.8,23614.2
2017-01-19 03:21:00,2017-01-19 18:10:00,14011.715367102426,13905.660531287314,ZN,14925.66,14115.96
2017-01-20 01:11:00,2017-01-20 18:01:00,13980.522768333276,13799.605695472204,ZN,25328.39,24522.59
2017-01-21 04:01:00,2017-01-23 18:42:00,14055.385005379238,14270.613936886377,ZN,-31208.2,-32029.65
2017-01-24 03:01:00,2017-01-25 01:02:00,14183.274660332754,14286.21023627095,ZN,-13116.49,-13941.74
2017-01-25 02:01:00,2017-01-25 18:29:00,14239.421338117225,14189.513180086584,ZN,-7236.68,-8061.12
2017-01-26 01:01:00,2017-01-26 02:14:00,14242.54059799414,14127.127982548283,ZN,5879.8,5059.26
2017-02-03 14:01:00,2017-02-06 01:12:00,14308.045055409357,14136.485762179029,ZN,-23581.6,-24378.14
2017-02-06 02:31:00,2017-02-06 18:18:00,14139.605022055945,14030.430926363915,ZN,-15830.24,-16647.17
2017-02-07 02:01:00,2017-02-07 04:03:00,14039.788705994662,14148.962801686688,ZN,-15377.95,-16195.52
2017-02-07 13:31:00,2017-02-08 01:30:00,14133.366502302111,14233.182818363395,ZN,14925.66,14103.12
2017-02-08 03:11:00,2017-02-08 13:12:00,14242.54059799414,14339.237654178509,ZN,14021.07,13192.2
2017-02-09 13:11:00,2017-02-09 17:54:00,14426.576930732128,14354.833953563082,ZN,-10480.71,-11286.51
2017-02-10 14:51:00,2017-02-10 17:32:00,14414.099891224469,14467.127309132024,ZN,-7423.84,-8232.51
2017-02-13 01:11:00,2017-02-13 03:00:00,14669.879201131504,14866.39257337715,ZN,27511.87,26684.86
2017-02-14 04:01:00,2017-02-14 04:55:00,14885.219256271756,14782.476684538444,ZN,14290.56,13489.45
2017-02-15 02:41:00,2017-02-15 03:40:00,14748.22916062734,14573.878129807172,ZN,24409.14,23587.95
2017-02-16 02:51:00,2017-02-16 13:17:00,14661.053645217256,14726.43528177482,ZN,-8717.55,-9540.49
2017-02-16 18:21:00,2017-02-16 18:41:00,14689.074346599067,14558.311073483945,ZN,-18742.74,-19561.75
2017-02-17 02:21:00,2017-02-17 17:44:00,14573.878129807172,14505.383081984965,ZN,10461.06,9646.84
2017-02-20 01:11:00,2017-02-20 02:18:00,14365.2795750759,14197.155366785026,ZN,25716.78,24916.77
2017-02-21 13:21:00,2017-02-21 13:58:00,14633.032943835444,14701.527991657653,ZN,10025.18,9203.9
2017-02-21 17:41:00,2017-02-22 02:38:00,14605.012242453631,14517.836727043546,ZN,12640.45,11824.92
2017-02-22 03:31:00,2017-02-22 15:26:00,14533.403783366775,14408.867332780945,ZN,18306.86,17496.47
2017-02-23 01:01:00,2017-02-23 01:27:00,14427.54780036882,14527.176960837483,ZN,-4358.78,-5171.43
2017-02-23 13:01:00,2017-02-23 13:22:00,14576.99154107182,14505.383081984965,ZN,-7409.92,-8223.88
2017-02-24 01:11:00,2017-02-24 03:13:00,14387.073453928422,14197.155366785026,ZN,26588.53,25788.17
2017-02-27 01:11:00,2017-02-27 02:26:00,14237.629713225422,14144.227375286046,ZN,-13543.34,-14366.41
2017-02-28 04:51:00,2017-02-28 13:12:00,14243.856535754714,14278.104059665817,ZN,5417.34,4590.11
2017-02-28 17:31:00,2017-03-01 01:04:00,14281.217470930464,14324.805228635503,ZN,-5868.78,-6698.26
2017-03-01 01:11:00,2017-03-01 17:33:00,14287.444293459755,14455.56850175063,ZN,-23101.51,-23906.23
2017-03-02 03:11:00,2017-03-03 01:04:00,14477.362380603152,14433.774622898109,ZN,-6102.29,-6911.8
2017-03-03 13:31:00,2017-03-06 18:12:00,14138.000552756755,13969.87634446588,ZN,23475.12,22659.99
2017-03-07 02:01:00,2017-03-07 13:32:00,13944.969054348712,13854.680127673982,ZN,12640.45,11834.35
2017-03-07 15:01:00,2017-03-08 01:08:00,13920.061764231546,13795.525313645712,ZN,18057.79,17254.03
2017-03-10 01:21:00,2017-03-10 02:33:00,13518.431711092231,13621.174282825545,ZN,-15878.4,-16692.68
2017-03-10 14:01:00,2017-03-10 18:21:00,13577.586525120503,13677.21568558917,ZN,14010.35,13192.71
2017-03-11 04:01:00,2017-03-11 04:37:00,13642.968161678064,13699.00956444169,ZN,8873.22,8053.06
2017-03-14 02:21:00,2017-03-14 13:07:00,14038.371392288089,13972.989755730525,ZN,-8577.45,-9389.78
2017-03-14 14:11:00,2017-03-14 15:27:00,13972.989755730525,14044.59821481738,ZN,-10834.67,-11647.09
2017-03-15 02:21:00,2017-03-15 03:01:00,13898.267885379026,14057.051859875965,ZN,-21669.34,-22480.14
2017-03-15 17:41:00,2017-03-16 01:03:00,14131.773730227464,14256.310180813296,ZN,17606.34,16783.18
2017-03-16 14:01:00,2017-03-16 14:32:00,14433.774622898109,14343.48569622338,ZN,-12640.45,-13446.21
2017-03-17 01:21:00,2017-03-17 13:49:00,14471.13555807386,14608.125653718276,ZN,19178.61,18364.39
2017-03-17 17:41:00,2017-03-18 04:01:00,14489.816025661734,14773.136450744503,ZN,39228.98,38409.71
2017-03-20 01:11:00,2017-03-20 13:12:00,14636.146355100089,14832.291264772775,ZN,27896.16,27070.96
2017-03-21 14:41:00,2017-03-21 14:58:00,14651.713411423318,14573.878129807172,ZN,10896.94,10078.45
2017-03-22 02:11:00,2017-03-22 02:40:00,14654.826822687965,14735.775515568756,ZN,11768.69,10945.67
2017-03-22 18:01:00,2017-03-23 01:02:00,14424.434389104172,14505.383081984965,ZN,-11332.82,-12142.85
2017-03-23 02:01:00,2017-03-23 03:30:00,14477.362380603152,14617.465887512211,ZN,20050.37,19235.63
2017-03-23 13:41:00,2017-03-24 01:05:00,14583.21836360111,14446.228267956692,ZN,-19178.61,-19991.44
2017-03-24 03:51:00,2017-03-24 18:57:00,14421.320977839528,14552.084250954653,ZN,-18742.74,-19553.9
2017-03-25 04:01:00,2017-03-27 13:47:00,14461.79532427992,14346.599107488026,ZN,-16563.35,-17369.9
2017-03-28 03:41:00,2017-03-28 13:47:00,14050.82503734667,14194.04195552038,ZN,-20766.45,-21585.55
2017-03-28 14:51:00,2017-03-29 03:01:00,14103.753028845653,14228.289479431483,ZN,18509.23,17687.51
2017-03-29 14:41:00,2017-03-29 18:02:00,14371.506397605192,14468.022146809211,ZN,13512.2,12704.7
2017-03-30 18:11:00,2017-03-31 01:10:00,14583.21836360111,14633.032943835444,ZN,-7845.8,-8663.85
2017-03-31 04:01:00,2017-03-31 14:10:00,14667.280467746546,14536.517194631422,ZN,-18742.74,-19560.53
2017-03-31 18:21:00,2017-04-05 13:02:00,14508.49649324961,14331.032051164795,ZN,24409.14,23601.72
2017-04-05 14:51:00,2017-04-06 01:11:00,14411.980744045588,14486.702614397089,ZN,-10896.94,-11706.02
2017-04-06 13:31:00,2017-04-06 15:23:00,14293.671115989047,14371.506397605192,ZN,-10896.94,-11699.56
2017-04-07 01:01:00,2017-04-07 01:15:00,14377.733220134483,14293.671115989047,ZN,-16127.47,-16931.14
2017-04-07 13:11:00,2017-04-07 18:37:00,14081.95914999313,13901.38129664367,ZN,26183.79,25372.27
2017-04-10 02:21:00,2017-04-11 01:20:00,13783.071668587128,13608.29052316336,ZN,26684.18,25862.35
2017-04-11 14:41:00,2017-04-11 18:18:00,13477.261591028362,13352.472131852172,ZN,19186.38,18381.58
2017-04-13 18:21:00,2017-04-14 01:23:00,13514.698428781216,13405.507652002054,ZN,-16378.62,-17186.41
2017-04-15 04:01:00,2017-04-18 04:42:00,13655.08657035443,13508.458955822409,ZN,21526.18,20711.18
2017-04-19 17:31:00,2017-04-20 01:12:00,13090.414267582177,13302.556348181695,ZN,34816.26,33998.46
2017-04-20 17:51:00,2017-04-20 18:38:00,13193.365571402534,13386.789233125624,ZN,-30947.79,-31771.96
2017-04-21 13:41:00,2017-04-21 17:35:00,13545.895793575266,13676.924725710263,ZN,19186.38,18369.6
2017-04-21 18:21:00,2017-04-22 04:01:00,13639.487887957406,13452.303699193124,ZN,-28545.59,-29358.44
2017-04-24 02:01:00,2017-04-24 13:07:00,13474.141854548956,13374.310287208004,ZN,14038.81,13233.36
2017-04-25 18:01:00,2017-04-26 01:14:00,13442.94448975491,13358.711604810982,ZN,-12166.97,-12971.12
2017-04-26 18:51:00,2017-04-28 02:12:00,13524.057638219432,13417.986597919671,ZN,-15910.66,-16718.73
2017-04-28 03:51:00,2017-04-28 15:22:00,13486.620800466577,13561.49447597229,ZN,-11699.01,-12510.55
2017-05-04 01:01:00,2017-05-04 01:02:00,13661.32604331324,13552.135266534076,ZN,1871.84,1058.15
2017-05-05 01:31:00,2017-05-05 13:28:00,13399.268179043243,13458.543172151933,ZN,-9359.21,-10165.04
2017-05-06 04:01:00,2017-05-08 13:21:00,13464.782645110745,13361.831341290386,ZN,15910.66,15105.95
2017-05-09 14:41:00,2017-05-09 18:37:00,13522.34861630443,13645.393785701508,ZN,17983.52,17168.4
2017-05-11 02:41:00,2017-05-11 03:28:00,13654.858798732052,13588.60370751824,ZN,10411.51,9594.31
2017-05-11 04:51:00,2017-05-11 13:47:00,13626.46375964042,13683.253837823686,ZN,-8518.51,-9337.8
2017-05-12 01:21:00,2017-05-12 01:52:00,13762.128946411556,13695.873855197744,ZN,-9465.01,-10288.66
2017-05-12 14:11:00,2017-05-12 17:46:00,13601.2237248923,13661.168807419082,ZN,-9465.01,-10282.79
2017-05-13 04:01:00,2017-05-15 01:03:00,13490.798572869282,13670.633820449626,ZN,26975.29,26160.44
2017-05-15 01:11:00,2017-05-15 01:28:00,13616.998746609876,13478.178555495224,ZN,20823.03,20009.98
2017-05-15 02:21:00,2017-05-15 13:04:00,13525.503620647944,13572.828685800669,ZN,-6625.51,-7438.55
2017-05-15 17:51:00,2017-05-16 01:03:00,13591.758711861756,13673.78882479314,ZN,12304.52,11486.55
2017-05-17 01:01:00,2017-05-17 05:00:00,13446.628512060077,13525.503620647944,ZN,-11358.02,-12167.08
2017-05-18 17:31:00,2017-05-19 01:02:00,13509.728598930373,13153.2131081132,ZN,51584.32,50784.62
2017-05-20 04:00:00,2017-05-20 04:01:00,13522.34861630443,13976.669241770562,ZN,1893.0,1054.78
2017-05-22 01:11:00,2017-05-22 13:09:00,13774.748963785614,14083.939389450064,ZN,46851.81,46016.15
2017-05-23 17:41:00,2017-05-23 18:34:00,14093.40440248061,14181.744524099024,ZN,12351.84,11531.77
2017-05-24 03:21:00,2017-05-24 17:34:00,14124.954445915757,13995.59926783165,ZN,-18756.5,-19572.0
2017-05-24 18:11:00,2017-05-25 13:13:00,14074.47437641952,14175.434515411996,ZN,-14181.74,-15001.08
2017-05-25 15:01:00,2017-05-25 18:22:00,14162.814498037937,14102.869415511152,ZN,-8692.04,-9511.74
2017-05-26 01:31:00,2017-05-26 03:36:00,14096.559406824124,13954.584211365958,ZN,21501.35,20687.87
2017-05-31 13:21:00,2017-05-31 17:56:00,14096.559406824124,13941.964193991898,ZN,-22416.31,-23229.42
2017-06-01 03:01:00,2017-06-01 14:09:00,13841.004054999425,13695.873855197744,ZN,21043.88,20245.31
2017-06-01 18:01:00,2017-06-05 01:02:00,13758.97394206804,13642.238781357994,ZN,18456.78,17634.74
2017-06-06 02:41:00,2017-06-06 13:14:00,13487.643568525767,13386.683429533294,ZN,15617.27,14810.95
2017-06-07 13:51:00,2017-06-07 18:20:00,13358.28839044166,13273.103273166762,ZN,12777.77,11978.83
2017-06-08 01:11:00,2017-06-08 14:37:00,13349.529950925244,13443.586405875883,ZN,-14108.47,-14912.26
2017-06-08 17:51:00,2017-06-08 18:47:00,13463.046362072568,13566.83279512155,ZN,16540.96,15729.87
2017-06-09 14:51:00,2017-06-10 04:01:00,13660.88925007219,13917.112006661862,ZN,39406.41,38579.07
2017-06-12 01:11:00,2017-06-12 13:04:00,13810.0822475801,13939.815288891326,ZN,18811.29,18006.54
2017-06-14 01:21:00,2017-06-14 02:15:00,13472.77634017091,13557.102817023208,ZN,-12648.97,-13459.87
2017-06-14 13:11:00,2017-06-14 15:05:00,13476.01966620369,13547.372838924866,ZN,11189.47,10378.87
2017-06-15 01:11:00,2017-06-15 01:45:00,13599.266055449356,13709.5391405639,ZN,16054.46,15235.1
2017-06-16 15:21:00,2017-06-17 04:01:00,13771.162335186733,13690.079184367216,ZN,-12162.47,-12986.12
2017-06-19 01:41:00,2017-06-19 13:42:00,13716.025792629462,13634.942641809945,ZN,12162.47,11341.94
2017-06-20 03:41:00,2017-06-20 14:31:00,13868.462116170153,13810.0822475801,ZN,-7524.52,-8327.38
2017-06-20 17:51:00,2017-06-21 02:11:00,13871.705442202932,13813.32557361288,ZN,8465.08,7662.22
2017-06-21 15:11:00,2017-06-22 01:02:00,13881.435420301275,14059.818352104212,ZN,26335.81,25525.42
2017-06-23 03:31:00,2017-06-23 13:16:00,14348.474369021693,14306.311130595544,ZN,-5902.85,-6705.19
2017-06-23 14:41:00,2017-06-23 19:00:00,14351.717695054473,14429.557519841208,ZN,-10897.58,-11703.45
2017-06-24 04:01:00,2017-06-26 13:46:00,14241.44460993993,14322.527760759447,ZN,11286.77,10458.33
2017-06-27 02:11:00,2017-06-27 02:45:00,14299.82447852998,14260.904566136614,ZN,-5902.85,-6702.64
2017-06-28 13:21:00,2017-06-29 14:12:00,14594.967147513024,14724.70018882425,ZN,17708.56,16887.52
2017-06-29 14:51:00,2017-06-30 03:34:00,14663.076994201418,14627.400407840829,ZN,-4086.59,-4906.72
2017-07-03 01:51:00,2017-07-03 13:12:00,14711.726884693127,14802.540013610986,ZN,12259.77,11433.28
2017-07-04 03:01:00,2017-07-04 04:42:00,14916.05642475831,15010.11287970895,ZN,12697.62,11889.79
2017-07-05 01:11:00,2017-07-05 02:16:00,14909.569772692748,14987.409597479484,ZN,-10508.38,-11315.42
2017-07-05 13:11:00,2017-07-05 18:32:00,14977.679619381142,14886.866490463284,ZN,-12697.62,-13503.88
2017-07-06 03:41:00,2017-07-07 01:07:00,14808.699912680706,14916.363956989686,ZN,-15072.97,-15905.45
2017-07-07 03:41:00,2017-07-07 13:16:00,14870.6883018283,14841.325380653125,ZN,-3523.55,-4325.86
2017-07-10 02:31:00,2017-07-11 01:05:00,14906.57631659796,14717.348602357935,ZN,-25986.19,-26785.94
2017-07-11 03:01:00,2017-07-11 14:04:00,14811.962459477949,14903.31376980072,ZN,-13245.94,-14077.88
2017-07-12 03:41:00,2017-07-12 15:12:00,15128.429498810408,15206.73062194421,ZN,11011.1,10192.13
2017-07-13 14:01:00,2017-07-14 01:40:00,15170.84260717455,15046.86582887936,ZN,16736.87,15920.99
2017-07-14 15:11:00,2017-07-15 04:01:00,14932.676690975895,15014.240360906942,ZN,-10570.65,-11379.31
2017-07-17 13:11:00,2017-07-17 15:23:00,14939.20178457038,15063.178562865569,ZN,16736.87,15926.8
2017-07-18 02:41:00,2017-07-18 13:15:00,15200.205528349728,15118.64185841868,ZN,-11451.54,-12270.24
2017-07-18 13:51:00,2017-07-18 15:30:00,15164.317513580068,15092.541484040748,ZN,9689.76,8872.65
2017-07-19 03:01:00,2017-07-19 13:56:00,14965.302158948314,14887.00103581451,ZN,10130.21,9324.11
2017-07-20 01:11:00,2017-07-20 13:12:00,14873.950848625544,14808.699912680706,ZN,-8808.88,-9610.31
2017-07-21 02:21:00,2017-07-24 01:13:00,14877.213395422785,15027.290548095909,ZN,19379.53,18572.11
2017-07-24 03:11:00,2017-07-24 17:32:00,14919.626503786929,15046.86582887936,ZN,17617.75,16808.92
2017-07-24 18:41:00,2017-07-25 13:05:00,15024.028001298668,15095.804030837988,ZN,9689.76,8876.53
2017-07-25 17:51:00,2017-07-25 18:27:00,15092.541484040748,15154.52987318834,ZN,8368.43,7551.76
2017-07-26 17:41:00,2017-07-26 18:14:00,15340.495040631124,15193.680434755242,ZN,20260.42,19435.9
2017-07-27 01:51:00,2017-07-28 02:50:00,15239.356089916628,15180.630247566276,ZN,8808.88,7987.54
2017-07-29 04:11:00,2017-07-31 14:02:00,15072.966203257294,15164.317513580068,ZN,-12332.43,-13148.83
2017-08-01 01:11:00,2017-08-01 04:52:00,15183.892794363515,15164.317513580068,ZN,-3083.11,-3902.6
2017-08-02 17:31:00,2017-08-03 01:12:00,15004.452720515215,15112.116764824195,ZN,-15855.98,-16668.86
2017-08-03 17:31:00,2017-08-03 17:47:00,15340.495040631124,15301.344479064224,ZN,-5285.33,-6112.83
2017-08-04 02:41:00,2017-08-04 04:58:00,15258.93137070008,15209.993168741452,ZN,6606.66,5783.82
2017-08-04 15:11:00,2017-08-04 17:58:00,15304.607025861464,15350.28268102285,ZN,5285.33,4457.82
2017-08-08 13:41:00,2017-08-08 15:16:00,15664.060380074256,15546.408351348471,ZN,-14869.91,-15681.3
2017-08-08 17:51:00,2017-08-09 03:06:00,15628.11114907471,15745.763177800492,ZN,-15294.76,-16110.48
2017-08-09 14:41:00,2017-08-09 18:41:00,15932.045556616316,16108.523599704988,ZN,22942.15,22109.09
2017-08-10 13:11:00,2017-08-10 17:31:00,15958.19045188871,15918.973108980115,ZN,6372.82,5544.27
2017-08-11 02:31:00,2017-08-11 03:04:00,15843.806535071975,15954.92233997966,ZN,-14869.91,-15696.76
2017-08-14 01:11:00,2017-08-14 03:50:00,15732.690730164297,15667.328491983304,ZN,8072.24,7255.92
2017-08-14 18:21:00,2017-08-15 01:09:00,15765.371849254789,15706.545834891898,ZN,-7647.38,-8465.65
2017-08-15 04:01:00,2017-08-15 13:15:00,15729.422618255245,15840.538423162929,ZN,-14445.05,-15265.87
2017-08-15 17:51:00,2017-08-16 01:25:00,15912.436885162017,15853.610870799126,ZN,-7647.38,-8473.3
2017-08-16 13:01:00,2017-08-16 13:30:00,15938.581780434411,16010.480242433505,ZN,11046.22,10215.88
2017-08-18 01:31:00,2017-08-18 03:51:00,16932.087800785463,16814.435772059678,ZN,-14118.24,-14928.0
2017-08-21 01:31:00,2017-08-21 14:56:00,16990.913815148353,17422.304587142888,ZN,51766.89,50940.98
2017-08-21 18:11:00,2017-08-21 18:50:00,17347.138013234748,17196.80486541847,ZN,-18039.98,-18869.03
2017-08-22 04:51:00,2017-08-22 13:04:00,17187.000529691322,17239.290320236116,ZN,-5882.6,-6708.75
2017-08-23 14:41:00,2017-08-23 15:30:00,16876.52989833162,16971.305143694055,ZN,-11373.03,-12185.38
