entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2019-09-18 13:43:00,2019-10-08 14:35:00,31418.161441322176,31239.64916040557,CJ,13537.18,12722.63
2019-10-23 13:12:00,2019-10-23 14:03:00,30614.85617719746,30733.864364475197,CJ,-7289.25,-8147.93
2020-07-02 13:57:00,2020-07-10 13:27:00,28393.8470044301,28030.38250104518,CJ,26169.44,25322.86
2021-05-17 15:00:00,2021-05-20 13:02:00,23222.44735838794,22218.444861703007,CJ,90360.22,89542.29
2021-07-22 14:48:00,2021-07-22 18:44:00,23287.642325705147,22779.12158063096,CJ,-45766.87,-46596.07
2021-08-20 17:44:00,2021-08-26 13:02:00,25845.81326961432,27634.708780705147,CJ,141620.89,140765.21
2021-12-17 14:08:00,2021-12-21 14:45:00,25560.02487744038,24079.007810974108,CJ,117815.74,117021.38
2022-02-16 19:00:00,2022-02-17 13:03:00,23063.928698002845,22914.16292723659,CJ,-10608.41,-11389.89
2022-08-12 13:03:00,2022-08-18 13:02:00,16369.536166859572,16177.437670349904,CJ,24012.31,23198.98
2022-09-01 18:12:00,2022-09-01 18:18:00,16637.10192985518,16616.519948086287,CJ,-2469.84,-3267.27
2022-10-20 13:02:00,2022-10-20 13:06:00,15882.429264995772,16067.667100915807,CJ,-24972.8,-25803.69
2022-12-26 17:39:00,2023-01-04 13:10:00,14350.85031299574,14693.87063755027,CJ,-52783.13,-53625.63
2023-02-03 14:44:00,2023-02-08 18:57:00,14882.881836794604,14735.873126271234,CJ,-19846.18,-20645.88
2023-07-21 15:14:00,2023-08-14 13:07:00,14833.43834774079,14590.409403803656,CJ,-32808.91,-33603.35
2023-11-09 15:13:00,2023-11-10 14:49:00,15254.364325478453,15021.980102892272,CJ,-28771.38,-29558.56
2024-01-19 18:44:00,2024-01-26 13:02:00,14383.638011805262,14051.220845721722,CJ,49730.66,48906.05
2024-04-09 13:03:00,2024-04-10 18:49:00,12622.528746738812,12992.721035848872,CJ,-58408.12,-59227.97
2024-08-19 13:41:00,2024-09-02 13:02:00,10078.401898734175,9979.351265822785,CJ,21320.65,20498.48
2024-11-06 19:00:00,2024-11-12 14:43:00,10113.069620253164,9910.01582278481,CJ,-40610.76,-41411.68
2025-01-10 17:48:00,2025-01-14 15:14:00,9115.0,9270.0,CJ,-34875.0,-35702.32
