entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-02-24 14:50:00,2017-03-03 13:56:00,2713.1008345033765,2679.6466742687044,IF,-29966.72,-30937.44
2017-04-11 14:51:00,2017-04-17 15:26:00,2770.3915933583567,2750.5258895280563,IF,-18165.2,-19158.85
2017-05-12 14:17:00,2017-05-15 13:39:00,2679.6253495623478,2710.9286377083854,IF,-28604.18,-29574.51
2017-06-02 14:47:00,2017-06-07 13:51:00,2783.306670690092,2814.9552371620084,IF,28917.47,27909.7
2017-06-14 14:21:00,2017-06-19 15:27:00,2855.921655691646,2853.959904196034,IF,-1911.75,-2939.44
2017-07-25 18:02:00,2017-07-31 13:32:00,3001.992615566306,3005.2355588692835,IF,2918.65,1837.35
2017-08-03 18:40:00,2017-08-10 15:30:00,3015.1265359433646,2983.5078387393337,IF,-28310.9,-29390.62
2017-08-31 14:35:00,2017-09-18 14:13:00,3111.5523439253025,3146.7958715741743,IF,32159.05,31032.58
2017-11-15 15:24:00,2017-11-20 18:15:00,3329.559862185969,3374.4079303326093,IF,26810.63,26006.1
2018-01-29 15:17:00,2018-02-01 14:55:00,3559.616571150892,3474.918299039906,IF,-50917.07,-51761.19
2018-05-17 14:46:00,2018-05-18 14:03:00,3192.96236293783,3174.0965129650453,IF,-17426.09,-18572.31
2018-07-27 14:02:00,2018-08-01 13:32:00,2954.857433512261,2972.3686975777505,IF,16214.76,15147.77
2018-08-07 18:53:00,2018-08-13 13:32:00,2828.069146576553,2830.426432123831,IF,-1515.4,-2533.81
2018-12-27 13:33:00,2019-01-02 13:57:00,2570.05966263695,2513.949988934348,IF,50346.6,49431.39
2019-01-23 17:43:00,2019-01-25 13:34:00,2648.473748723687,2688.686619677195,IF,36039.52,35078.8
2019-04-11 15:19:00,2019-04-15 13:32:00,3390.7930702488507,3425.860938119364,IF,21141.88,20323.86
2019-06-25 15:05:00,2019-07-01 13:32:00,3181.374926321972,3323.386893184745,IF,127810.77,126639.91
2019-07-04 14:54:00,2019-07-08 14:51:00,3292.700033598552,3212.9141986744485,IF,-71807.25,-72978.26
2019-07-31 14:11:00,2019-08-01 14:55:00,3275.3677859069808,3249.528982517819,IF,-23562.94,-24737.48
2019-08-26 13:32:00,2019-08-27 14:35:00,3232.705092734061,3304.6727583127013,IF,63997.98,62821.53
2019-09-11 14:54:00,2019-09-20 13:32:00,3375.438100122724,3376.4744456511216,IF,209.16,-600.99
2019-11-08 18:23:00,2019-11-11 18:15:00,3415.3540950403053,3370.4537062423647,IF,-26837.01,-27651.33
2020-02-06 15:15:00,2020-02-14 14:58:00,3292.3209306045137,3412.9469703132854,IF,-108871.42,-110078.37
2020-04-10 18:04:00,2020-04-10 18:05:00,3220.5434939047987,3222.607173187485,IF,928.66,-231.05
2020-04-13 13:36:00,2020-04-13 13:37:00,3212.6327233211696,3215.7282422451985,IF,2785.97,1628.92
2020-05-28 13:45:00,2020-05-28 13:46:00,3359.281200761517,3360.5066407743016,IF,-945.34,-1751.71
2020-06-11 17:14:00,2020-06-18 15:17:00,3488.302527821876,3533.818871153889,IF,27414.84,26572.25
2020-07-16 14:18:00,2020-07-20 17:25:00,4179.089396582348,4117.972095879309,IF,-36138.69,-37134.19
2020-09-14 14:29:00,2020-09-15 18:22:00,4145.533011042918,4171.567414845923,IF,-15941.61,-16939.6
2020-10-16 15:25:00,2020-10-19 13:32:00,4293.026997890998,4344.604637941275,IF,31054.79,30018.25
2020-11-12 15:26:00,2020-11-18 13:44:00,4430.432529703713,4441.31232145185,IF,6527.88,5463.27
2021-01-15 15:17:00,2021-01-18 17:16:00,4943.012072002964,5004.164607548668,IF,37127.03,35933.24
2021-02-22 17:17:00,2021-02-24 14:44:00,5124.067143816289,5008.350095898716,IF,-69539.22,-70755.01
2021-03-12 13:32:00,2021-03-15 15:24:00,4649.754408945359,4554.383215606699,IF,56895.73,55791.17
2021-05-31 13:39:00,2021-06-02 13:32:00,4919.070784040681,4967.888835003509,IF,28731.85,27545.48
2021-06-23 13:36:00,2021-06-23 14:40:00,4783.486153395401,4812.741802430163,IF,-17328.35,-18479.98
2021-07-07 15:08:00,2021-07-07 17:48:00,4788.924703536479,4809.741223041982,IF,-12039.82,-13191.44
2021-08-02 14:36:00,2021-08-06 13:41:00,4537.625251053436,4578.265755852024,IF,-23706.96,-24800.82
2021-12-14 18:19:00,2021-12-20 13:32:00,4814.648497514163,4723.589934664978,IF,-54406.55,-55551.09
2021-12-23 18:07:00,2021-12-23 18:08:00,4714.849934785866,4712.189934822658,IF,1254.0,122.78
2021-12-23 18:10:00,2021-12-23 18:11:00,4716.17993476747,4715.609934775354,IF,1026.0,-105.81
2022-04-29 13:32:00,2022-05-06 14:06:00,3737.899400925429,3735.987431922398,IF,1147.18,250.31
2022-06-22 18:18:00,2022-06-23 18:08:00,4092.6501267499934,4155.533849298917,IF,38424.66,37434.87
2022-08-16 18:40:00,2022-08-16 18:41:00,4038.9111065557136,4039.6875962426416,IF,1164.73,195.26
2022-08-17 13:41:00,2022-08-17 13:42:00,4036.58163749493,4035.805147808002,IF,-232.95,-1201.49
2022-09-07 14:28:00,2022-09-09 18:11:00,3937.3850799898846,3978.7331558187975,IF,-25274.74,-26224.63
2022-10-13 17:45:00,2022-10-19 17:34:00,3672.748847323804,3674.496296024688,IF,-1514.46,-2396.17
2022-11-09 17:01:00,2022-11-09 17:02:00,3628.168726280217,3627.389773196372,IF,-350.53,-1221.17
2022-11-09 17:17:00,2022-11-09 17:18:00,3626.805558383488,3626.805558383488,IF,0.0,-870.43
2022-11-09 17:22:00,2022-11-09 17:23:00,3620.963410254649,3619.2107658159966,IF,-1285.27,-2153.91
2022-11-09 17:24:00,2022-11-09 17:25:00,3619.7949806288807,3622.326578151378,IF,1752.64,883.68
2022-11-17 15:28:00,2022-11-21 13:33:00,3683.669133504191,3648.2267681892326,IF,-21265.42,-22145.25
2022-12-13 15:25:00,2022-12-19 13:35:00,3846.2755897568873,3863.173197742944,IF,9788.41,8863.26
2023-02-01 14:26:00,2023-02-02 13:32:00,4024.0525687257295,4062.048080422382,IF,22797.31,21826.97
