entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2021-05-25 13:07:00,2021-05-25 17:47:00,43722.036936271725,42693.49541527813,LH,48936.92,48107.25
2021-06-09 14:49:00,2021-06-15 13:02:00,36865.09346298107,34735.832068643445,LH,140314.72,139398.57
2021-06-23 18:43:00,2021-07-20 13:19:00,32633.637556437232,34365.918012847505,LH,-137860.65,-138932.79
2021-09-27 17:56:00,2021-10-11 13:31:00,24963.487228151225,26132.551946934364,LH,-113074.05,-114054.59
2021-10-14 17:49:00,2021-10-14 17:50:00,26097.392105767954,25921.592899935906,LH,-14767.13,-15599.58
2021-10-14 17:51:00,2021-10-14 17:52:00,26044.652344018337,26071.022224893142,LH,2812.79,1979.08
2021-10-14 18:55:00,2021-10-14 18:56:00,25886.433058769493,25895.223019061097,LH,703.2,-125.31
2021-10-29 15:03:00,2021-11-01 18:15:00,29850.70515028224,28110.29301254494,LH,-139936.17,-140863.4
2022-03-21 17:34:00,2022-04-18 13:03:00,23902.071300102136,23911.324908812978,LH,-3553.39,-4471.23
2022-07-14 18:25:00,2022-07-15 19:00:00,30684.573813868792,29327.584538706724,LH,-85518.02,-86286.62
2022-09-29 13:02:00,2022-10-10 13:02:00,29338.452068405357,30868.812697920926,LH,-120336.05,-121299.16
2022-10-14 18:01:00,2022-10-20 18:33:00,30908.05271406235,30417.55251229454,LH,-31810.57,-32595.79
2022-11-14 13:13:00,2022-11-21 13:02:00,28403.231683701397,27709.991398536225,LH,53889.62,52992.12
2022-11-28 13:58:00,2022-12-02 18:32:00,26951.351086468672,27814.63144158002,LH,-68016.03,-68892.49
2022-12-21 18:36:00,2022-12-30 13:02:00,22583.730533775062,22682.31869326145,LH,-8788.43,-9657.4
2023-07-18 13:18:00,2023-07-24 13:02:00,16467.80285549759,16885.602137169193,LH,-54172.83,-55026.54
2023-08-10 14:09:00,2023-08-17 17:53:00,18443.776105576813,17930.26029753291,LH,-57513.77,-58328.31
2023-10-30 17:33:00,2023-11-02 13:02:00,16633.04735491014,16602.302350557256,LH,3935.36,3084.27
2024-01-15 13:02:00,2024-01-15 18:05:00,14545.433861147212,14801.36524873338,LH,-36854.12,-37699.61
2024-03-14 17:44:00,2024-03-28 13:23:00,14982.17816432366,15106.490960244037,LH,17901.04,17034.49
2024-06-26 18:45:00,2024-07-01 13:02:00,14433.598702720064,14462.36726505464,LH,-3550.86,-4383.18
2024-09-19 17:52:00,2024-09-23 13:02:00,15152.188797355237,14650.094363744474,LH,71688.87,70830.69
2024-09-30 17:56:00,2024-10-28 13:02:00,14628.819175879613,13766.540551404012,LH,126049.56,125231.66
2024-12-24 13:03:00,2025-01-02 17:39:00,12814.913693901037,13085.017261219791,LH,-44016.88,-44845.84
