entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-05-17 13:02:00,2017-05-18 13:02:00,3718.1255292648175,3807.4190951251135,SF,-48218.53,-49031.28
2017-08-10 13:08:00,2017-08-10 13:09:00,4406.125135073662,4691.571780036906,SF,0.0,-844.48
2017-12-14 15:00:00,2017-12-22 13:02:00,6080.74545219136,6463.478329542329,SF,123879.8,123077.25
2018-04-02 13:02:00,2018-04-13 13:02:00,5333.851247218871,5254.831228741555,SF,30710.05,29905.45
2018-05-29 14:40:00,2018-05-29 14:41:00,5874.600482723866,5871.022772320258,SF,1234.31,423.62
2018-09-19 15:10:00,2018-09-19 15:11:00,5845.614328996929,5838.644893135233,SF,-3554.41,-4348.47
2018-11-16 13:02:00,2018-11-21 13:02:00,5634.788894180646,5528.504997289793,SF,38262.2,37458.19
2019-09-05 14:08:00,2019-09-26 13:02:00,5350.719203385032,5516.490194195584,SF,62164.12,61349.08
2019-12-18 17:34:00,2019-12-18 18:05:00,5310.197405631342,5317.565005222922,SF,-2099.77,-2907.62
2020-02-21 13:39:00,2020-02-24 14:37:00,5295.72623736633,5240.886131352871,SF,21533.88,20732.96
2020-03-26 15:12:00,2020-03-30 13:02:00,5014.213693163909,4858.833392792442,SF,63669.36,62869.5
2020-06-02 18:39:00,2020-06-02 18:40:00,5213.763006290448,5206.5765652066575,SF,2102.03,1289.11
2020-06-02 18:50:00,2020-06-02 18:51:00,5215.559616561396,5213.763006290448,SF,700.68,-113.09
2020-06-02 18:53:00,2020-06-02 18:54:00,5219.152837103292,5220.94944737424,SF,-700.68,-1515.01
2020-07-20 15:25:00,2020-08-04 13:17:00,5072.492014182905,5092.405437507678,SF,-7965.37,-8778.56
2020-11-12 18:02:00,2020-11-13 17:31:00,5313.397784134935,5252.795461202836,SF,-22057.46,-22850.06
2020-11-25 14:04:00,2020-11-27 13:17:00,5404.301268533084,5521.941071871865,SF,43526.73,42718.19
2020-12-10 18:16:00,2020-12-18 13:02:00,5816.040580218817,5730.533437540934,SF,-29070.34,-29855.75
2020-12-29 13:10:00,2020-12-31 14:58:00,6124.01575847071,5895.080589929749,SF,-74368.16,-75161.18
2021-04-02 18:06:00,2021-04-06 17:37:00,6136.535650500295,5997.028282170646,SF,47334.13,46521.31
2021-07-21 13:23:00,2021-07-23 15:11:00,7472.032199844596,7601.131051768131,SF,34385.65,33571.8
2021-08-03 14:44:00,2021-08-11 13:02:00,7723.251587371476,7958.769763177924,SF,60946.87,60146.91
2021-09-03 14:42:00,2021-09-09 13:09:00,9097.380215551426,9632.001279421109,SF,112270.42,111483.79
2021-11-11 18:43:00,2021-11-15 13:02:00,8451.60031661973,7895.806141309665,SF,139927.8,139094.08
2021-11-23 13:03:00,2021-11-26 13:02:00,7620.555692584679,7913.450400843318,SF,-78605.18,-79444.11
2022-01-21 18:28:00,2022-01-25 13:03:00,7880.8239620067025,7672.327285377356,SF,-51686.15,-52463.9
2022-05-17 13:14:00,2022-05-19 13:02:00,7739.825501150865,7303.827346949864,SF,114629.75,113832.07
2022-06-27 13:05:00,2022-07-01 13:02:00,7271.213311793095,7056.647291024886,SF,61151.32,60334.63
2022-07-08 13:05:00,2022-07-11 13:02:00,6955.372129222291,6752.821805617101,SF,60258.72,59449.84
2022-07-20 13:04:00,2022-07-25 18:34:00,6522.807031353579,6436.980623046296,SF,26494.61,25678.47
2022-10-13 18:35:00,2022-10-18 13:05:00,7609.579136306135,7381.911019494679,SF,-59193.71,-59973.27
2022-11-10 17:35:00,2022-11-18 14:42:00,7691.40621148009,8078.582516414228,SF,101149.81,100329.87
2022-12-22 15:30:00,2022-12-29 18:32:00,7767.583594073862,7758.182016254842,SF,3487.99,2665.32
2023-02-27 14:36:00,2023-02-27 14:37:00,7658.272722221935,7652.581660005769,SF,-986.45,-1782.52
2023-06-26 13:04:00,2023-06-26 13:07:00,6975.902298345257,6946.509451582566,SF,-8376.96,-9170.54
2023-09-07 18:00:00,2023-09-08 17:43:00,7141.140773269667,7085.874896638503,SF,-15474.45,-16271.16
2023-09-21 18:26:00,2023-09-25 13:02:00,7441.155532124556,7456.945782590603,SF,2131.68,1327.4
2023-11-27 13:10:00,2023-12-01 13:43:00,6983.160881068235,6813.185362664952,SF,49879.72,49079.42
2024-01-03 13:57:00,2024-01-05 13:02:00,6812.957235444058,6705.447097888834,SF,32850.32,32039.34
2024-02-08 17:39:00,2024-02-20 13:26:00,6572.219681931203,6634.506080628808,SF,-18685.92,-19504.86
2024-03-19 14:48:00,2024-03-20 13:38:00,6540.071863248568,6596.330545943179,SF,-18063.06,-18877.39
2024-04-01 17:48:00,2024-04-02 18:05:00,6449.6561232036565,6536.053385913238,SF,-26582.23,-27400.45
2024-04-23 17:37:00,2024-04-24 17:56:00,6719.951112129329,6900.6932242416015,SF,53918.01,53114.27
2024-05-22 17:44:00,2024-05-30 13:02:00,7185.835163467689,7372.068553422462,SF,52145.35,51329.88
2024-07-15 13:55:00,2024-07-26 13:03:00,6726.1953074091,6753.932195274704,SF,-8459.75,-9282.04
2024-08-21 15:03:00,2024-08-30 13:17:00,6377.81884729173,6475.601426615039,SF,-31290.43,-32113.04
2024-10-25 13:34:00,2024-10-25 14:33:00,6295.235517886136,6338.596564033129,SF,-15373.46,-16194.66
