entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2019-01-15 01:18:00,2019-01-17 01:17:00,4980.2715895804,5063.78224123495,SP,33404.26,32600.74
2019-01-24 14:07:00,2019-01-31 13:18:00,5096.047720283298,5010.639099272964,SP,-34049.57,-34838.04
2019-06-19 13:02:00,2019-06-21 01:02:00,4406.099746660648,4308.695721051765,SP,46562.94,45761.18
2019-12-05 15:24:00,2019-12-23 13:22:00,4123.262639406064,4158.222743882527,SP,-17130.45,-17942.04
2020-05-19 13:50:00,2020-05-29 18:59:00,3929.39013343724,3885.0803664837294,SP,22119.44,21306.55
2020-09-03 02:32:00,2020-09-10 15:29:00,4195.288502832995,4108.501400995324,SP,-41605.74,-42386.13
2020-10-28 01:07:00,2020-10-30 18:09:00,4023.450041194407,3934.927197319983,SP,45129.29,44333.63
2020-12-16 17:48:00,2020-12-22 01:04:00,4365.48188366007,4527.72975854639,SP,73856.58,73038.56
2021-01-12 02:33:00,2021-01-15 13:22:00,4990.812234784431,5313.617902527007,SP,128446.23,127621.74
2021-01-21 14:46:00,2021-02-10 18:37:00,5229.113801023715,5751.292709630603,SP,199712.25,198877.74
2021-03-02 13:40:00,2021-03-16 13:33:00,6101.033482513545,5970.936673276895,SP,-41090.32,-41862.81
2021-04-09 14:37:00,2021-04-12 13:06:00,6060.259820711214,5992.634603827742,SP,-21744.11,-22539.71
2021-06-22 19:00:00,2021-06-24 18:15:00,5248.315728463763,5468.262179775873,SP,-87978.58,-88835.91
2021-07-15 15:19:00,2021-07-19 18:39:00,5645.292250344156,5920.672360117042,SP,99136.84,98304.09
2021-11-01 15:03:00,2021-11-10 01:06:00,4709.171910903998,4764.749902738604,SP,-25528.48,-26343.57
2021-12-16 13:36:00,2021-12-16 13:37:00,5413.166996802776,5409.362944099472,SP,2891.08,2068.57
2021-12-22 18:00:00,2021-12-22 18:01:00,5287.633257593718,5285.7312312420645,SP,0.0,-824.87
2021-12-23 01:02:00,2021-12-23 01:03:00,5283.829204890412,5276.221099483802,SP,2891.08,2088.52
2022-03-14 01:03:00,2022-03-15 02:23:00,6784.527996344169,6404.122726013686,SP,-113550.97,-114342.18
2022-06-27 18:40:00,2022-06-28 18:23:00,6379.813602125792,6555.560837018476,SP,-57372.97,-58226.58
2022-08-04 02:22:00,2022-08-12 15:25:00,6708.631009344361,6600.7339315474965,SP,-31761.51,-32560.19
2022-11-28 13:07:00,2022-12-01 01:02:00,7082.775869475789,7082.775869475789,SP,-567.11,-1360.27
2022-12-22 01:03:00,2022-12-26 02:26:00,7119.5116062828265,7115.208486544971,SP,1247.9,422.04
2023-01-13 14:58:00,2023-01-18 13:29:00,6919.416538472521,7039.90389113249,SP,-35500.74,-36338.43
2023-02-02 18:12:00,2023-02-10 14:31:00,7285.1817161902845,7201.270881302092,SP,-23236.85,-24019.23
2023-03-02 01:03:00,2023-03-10 18:34:00,7026.994531918922,6585.9247587886775,SP,127286.28,126496.61
2023-03-24 17:37:00,2023-03-29 17:38:00,6194.340862643777,6080.308189590592,SP,38340.8,37530.53
2023-04-17 18:45:00,2023-05-04 13:02:00,5914.165627930371,5523.110099783415,SP,137638.36,136837.91
2023-05-08 01:11:00,2023-05-15 02:12:00,5698.865393332609,5817.5002164783145,SP,-42708.54,-43537.71
2023-08-01 02:46:00,2023-08-03 15:01:00,5977.876921841954,5874.620686881803,SP,-34360.16,-35166.28
2023-08-28 18:27:00,2023-08-29 13:26:00,5879.296269268767,5853.890595796954,SP,-8637.93,-9436.07
2023-09-07 13:02:00,2023-09-08 18:47:00,6093.127354323195,5970.333265876098,SP,-39823.39,-40619.44
2023-09-26 01:57:00,2023-10-13 01:02:00,6364.121204689202,6738.854888398447,SP,119237.29,118398.57
2023-10-31 18:50:00,2023-11-03 13:03:00,6374.706901969124,6419.166830544797,SP,-13549.69,-14368.36
2023-11-15 02:02:00,2023-11-16 02:35:00,6366.238344145187,6389.526878161016,SP,-7452.33,-8268.7
2023-12-08 01:06:00,2023-12-11 01:02:00,5879.296269268767,6116.415888339024,SP,-81509.87,-82349.57
2024-03-04 13:30:00,2024-04-03 18:28:00,6125.568917948838,6333.607107615025,SP,68652.6,67830.3
2024-04-16 02:53:00,2024-04-18 18:00:00,6555.953360510564,6426.193680425058,SP,-40225.5,-41030.39
2024-07-12 14:47:00,2024-07-24 01:02:00,5923.632379776432,5793.872699690926,SP,43418.0,42621.35
