entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2019-12-07 04:05:00,2019-12-11 03:12:00,9320.875896436224,9457.555407077814,SS,-30802.89,-31629.59
2020-03-03 13:30:00,2020-03-09 13:02:00,8644.113248468877,8306.58442189844,SS,79319.27,78522.59
2020-05-30 04:25:00,2020-06-01 15:00:00,8867.553889728135,8911.84055917357,SS,-9402.4,-10220.41
2020-06-06 04:08:00,2020-06-08 18:26:00,8843.707221565208,8881.180557249807,SS,-10185.93,-11001.28
2020-06-24 04:36:00,2020-07-22 01:03:00,8877.77389036939,9370.190075803335,SS,112336.68,111515.52
2020-08-10 01:40:00,2020-08-14 18:16:00,9893.028951382665,9955.51123949666,SS,13520.47,12706.26
2020-09-12 04:03:00,2020-09-16 01:49:00,9959.12735411205,9872.375373675535,SS,17072.79,16259.56
2020-11-14 04:05:00,2020-11-25 14:55:00,9639.401225227646,9306.818836016511,SS,69097.47,68301.58
2021-01-09 04:03:00,2021-01-11 01:02:00,10003.449527826626,10225.983892322767,SS,45213.33,44404.01
2021-04-19 01:28:00,2021-04-24 04:13:00,9913.375479184391,9966.46388767699,SS,-10157.58,-10972.51
2021-05-08 04:24:00,2021-05-10 01:02:00,10585.204083912286,10613.77413542082,SS,6785.39,5979.83
2021-05-14 15:25:00,2021-05-15 04:02:00,10792.336957349164,10863.762086120503,SS,13874.33,13072.92
2021-07-31 04:05:00,2021-08-02 01:02:00,14232.90148526216,14610.99133314652,SS,52932.58,52124.95
2021-11-06 04:05:00,2021-11-13 04:01:00,14235.464694595355,13395.136694751924,SS,120729.69,119928.41
2021-12-04 04:08:00,2021-12-06 01:02:00,13775.84482249346,13718.785110210943,SS,9170.31,8345.59
2021-12-13 18:57:00,2021-12-23 01:03:00,13152.263681120236,13389.62570684934,SS,-38630.04,-39479.25
2022-01-28 17:36:00,2022-01-28 17:37:00,14522.93461567743,14489.956052826048,SS,2988.68,2147.43
2022-03-26 04:03:00,2022-04-08 14:47:00,17074.692666882427,16610.9665476108,SS,-53328.95,-54103.53
2022-06-20 13:18:00,2022-06-21 13:33:00,15150.514329876796,15391.805002355975,SS,-32574.24,-33398.88
2022-07-04 01:03:00,2022-07-14 15:07:00,14330.700645020535,14712.736893660893,SS,-56024.75,-56867.13
2022-07-16 04:45:00,2022-07-21 18:32:00,14161.389125736743,14018.125532496611,SS,20773.22,19956.02
2022-08-23 13:18:00,2022-08-25 13:53:00,13750.669741549584,13955.314851977992,SS,-31383.09,-32214.41
2022-09-16 13:03:00,2022-10-10 18:33:00,15337.119797977122,15244.226714925995,SS,-12063.76,-12859.12
2022-10-17 01:02:00,2022-10-20 18:03:00,15982.151905170576,16579.964717520612,SS,74726.6,73912.55
2022-10-31 01:02:00,2022-10-31 01:03:00,15999.99019230487,15990.491830659095,SS,617.39,-214.24
2022-11-14 01:01:00,2022-11-14 14:03:00,16161.462340283011,15895.508214201363,SS,-33837.91,-34639.46
2022-12-12 01:02:00,2022-12-17 04:01:00,16786.08199004184,16323.150685518998,SS,-56130.42,-56924.93
2022-12-24 04:04:00,2022-12-29 01:04:00,15754.26009693826,16186.805371106791,SS,-56855.67,-57686.27
2023-02-24 13:45:00,2023-02-24 13:46:00,16015.05501309919,16019.851375786551,SS,1199.09,398.34
2023-03-04 04:21:00,2023-03-06 01:02:00,15727.273251857516,15746.45870260696,SS,-3117.64,-3936.08
2023-03-06 01:03:00,2023-03-07 18:53:00,15717.680526482793,15511.43693092626,SS,27435.19,26623.11
2023-03-18 04:54:00,2023-03-27 01:02:00,15223.655169684584,15179.213750116904,SS,5332.97,4511.96
2023-05-22 01:02:00,2023-05-30 13:09:00,15070.801837231607,15121.579471454086,SS,-8225.98,-9041.17
2023-06-03 04:03:00,2023-06-06 14:56:00,15268.834610699274,15426.245276788955,SS,21123.5,20325.56
2023-07-15 04:03:00,2023-07-17 13:11:00,15193.017759007183,15131.83782172259,SS,-8947.57,-9766.47
2023-07-27 14:54:00,2023-08-09 01:02:00,15741.533448965203,15541.42921020717,SS,-26013.55,-26826.91
2023-09-09 04:19:00,2023-09-13 02:05:00,16034.782886465982,15748.081787601968,SS,37271.14,36444.79
2023-10-12 15:16:00,2023-10-30 13:33:00,15118.363302597078,15226.293720275951,SS,-14570.61,-15389.91
2023-12-23 04:07:00,2023-12-25 01:02:00,14303.186352888431,14370.288995467845,SS,8671.73,7869.01
2024-01-06 04:14:00,2024-01-11 04:55:00,14132.848875571464,14266.728355380288,SS,-18664.07,-19487.81
2024-01-20 04:08:00,2024-01-30 14:38:00,14503.819939320856,14483.203279847765,SS,-2886.33,-3697.97
2024-03-01 18:19:00,2024-03-04 01:02:00,14425.406503501194,14322.62483977835,SS,-15108.9,-15913.71
2024-06-20 02:55:00,2024-06-29 04:43:00,14215.44530679044,14261.252327113074,SS,-7380.02,-8205.99
2024-07-15 01:02:00,2024-07-17 17:35:00,14154.369279693596,14093.293252596752,SS,10332.03,9512.85
2024-07-22 01:03:00,2024-07-23 13:49:00,14062.75523904833,14271.431664962549,SS,-29520.08,-30341.92
2024-08-17 04:01:00,2024-08-20 18:16:00,13911.219864008042,13855.392276082435,SS,9566.82,8761.59
2024-11-04 01:03:00,2024-11-06 03:58:00,13749.077558238769,13814.814229168192,SS,-9102.0,-9928.77
2024-11-18 01:03:00,2024-11-30 04:01:00,13337.62805479247,13026.867837055855,SS,48944.73,48127.59
2024-12-07 04:14:00,2024-12-16 13:02:00,13011.831052326665,12932.15278161852,SS,12748.52,11918.32
2025-01-04 04:03:00,2025-01-08 18:04:00,12723.915343915343,12887.169312169312,SS,-26912.17,-27731.88
2025-02-10 13:22:00,2025-02-11 15:01:00,13183.994708994707,13080.10582010582,SS,-17636.38,-18450.56
